"FSC.A","Timer.Blue","Timer.Red"
117081,348.6,-106.221
138425,2344.75,559.48
129673,8338.18,1153.76
120842,6466.53,353.565
123201,3863.65,60.1115
103579,2612.84,67.2791
108872,4305.21,-20.0386
140172,8407.07,1124.88
136941,6130.38,342.783
124560,3439.52,132.106
114209,1464.95,-32.1443
102190,4078.62,56.1164
106858,3796.42,341.161
103857,207.5,0.347264
133230,4895.34,850.993
127565,1224.25,305.124
84661.5,317.06,96.1796
122275,3075.98,1131.72
117165,5370.1,328.711
102654,683.92,112.444
83430.2,1102.24,45.2601
101926,1060.74,-46.1997
127651,6494.75,188.469
137516,3383.08,32.9826
140760,7147.96,1214.46
122851,2894.21,249.788
124596,410.02,187.315
137306,3053.57,512.44
134996,878.97,-5.74647
112596,7449.25,578.19
126652,4486.98,317.047
103113,3424.58,241.104
130962,4161.62,276.237
141196,7047.53,730.383
124236,4550.89,63.585
119694,7701.57,1038.9
91732.9,2697.5,688.937
91497.7,815.89,-29.231
105987,2387.91,88.7892
137090,4818.98,717.037
125820,2753.11,361.207
78512,355.24,174.723
98648.2,3065.19,250.018
118350,3943.33,506.46
113068,1253.3,-191.009
132301,7545.53,147.479
134908,2880.1,475.455
140030,559.42,467.351
75819.8,1253.3,11.164
137040,1675.77,195.686
130927,2650.19,412.577
115769,1774.54,151.777
126484,3460.27,602.432
104943,4723.53,233.134
138219,3676.07,99.3874
131118,3899.34,217.284
120941,10053,240.244
116105,371.01,47.4063
83257.3,1371.16,612.59
136612,924.62,158.153
131468,1061.57,103.347
129652,1655.85,-34.4633
126479,2480.04,399.422
131226,1417.64,115.84
127297,4403.98,648.56
127101,3320.83,588.54
126605,801.78,244.49
140414,601.75,51.2803
116200,320.38,9.12604
96419.4,3252.77,78.5757
125302,478.08,135.236
105132,3837.09,553.709
102551,7006.03,753.768
124130,5265.52,270.128
134989,2288.31,5.91745
133884,4942.65,458.427
120598,5765.18,292.057
123420,1767.9,172.935
141250,244.85,38.3056
132504,781.03,90.0471
138876,9735.07,424.477
112402,122.01,139.263
121308,1411,-268.297
135003,1332.15,51.9184
129282,7752.2,373.485
134812,3238.66,-17.8025
138730,1453.33,-25.9057
126088,2330.64,-4.88316
122516,11996,1779.74
121690,1224.25,-122.012
124289,6446.61,169.534
