"FSC.A","Timer.Blue","Timer.Red"
73734.5,78.85,-135.694
72148.3,106.24,364.373
75560.1,161.02,10.3948
78307.6,221.61,-123.89
72371.6,7.47,-58.3778
76285.3,-118.69,-52.9937
73472.7,34.86,35.1914
69967.1,60.59,10.6311
76954.5,75.53,-30.7251
84481.6,121.18,105.427
76384,153.55,-15.5235
70893.2,87.98,26.2815
79459.8,-53.95,102.36
71593.9,45.65,75.6973
69744.5,-87.15,-50.8297
73514,161.85,-58.6758
75659.5,-68.89,-23.1433
77563.5,53.95,10.9476
77396.9,4.98,0.074832
78542.8,171.81,-113.504
72489.2,112.05,-68.6912
68658.1,84.66,-13.8027
75320.7,117.03,-19.8731
74358.9,126.99,-113.697
78753.5,136.95,12.0115
77580.3,82.17,-17.4584
75459.3,92.96,-97.1279
72322.6,-0.83,-121.97
73231.2,48.14,-51.3535
65441.6,138.61,64.2671
70275.8,103.75,-79.6733
72708.3,218.29,60.0532
73824.1,136.95,-54.6342
80120.6,-7.47,-34.0407
83408.5,-15.77,-58.8608
73931.2,199.2,-45.6921
72548,132.8,10.7192
69000.4,43.99,-18.0715
74870.6,51.46,-54.8477
73563.7,25.73,36.0277
66434.9,208.33,-136.483
81706.1,221.61,-91.0368
77755.3,110.39,-54.8958
77121.1,78.85,-18.4572
73598,37.35,-4.50748
69043.1,76.36,-72.0462
72203.6,-78.85,5.96871
72778.3,77.19,50.1476
70575.4,100.43,-15.3332
65213.4,161.02,-57.9167
72093.7,42.33,-33.6477
72346.4,209.99,74.0561
72429,-1.66,-41.6162
71034.6,133.63,-82.5899
83285.3,-96.28,-70.3144
69209,59.76,-38.5085
75096.7,167.66,15.6825
77690.2,28.22,6.31794
71648.5,214.14,38.3315
73073,183.43,15.85
68880,103.75,-27.9364
69685.7,230.74,16.3417
69752.2,-24.07,-111.661
69706,47.31,-52.2727
67031.3,445.71,-103.359
73501.4,141.1,-27.0955
70504,159.36,30.9874
73872.4,102.92,-5.56898
67692.1,-26.56,-23.7653
65478.7,-33.2,20.717
68446.7,79.68,-120.321
71973.3,-74.7,-46.0995
70343,92.13,-80.1524
72069.9,116.2,8.31076
76484.8,113.71,-16.51
72613.1,107.07,-52.9603
75157.6,151.06,-24.8785
70388.5,-18.26,53.9468
72837.1,73.87,-53.5333
78472.1,77.19,29.4617
70919.8,226.59,-25.7253
