"FSC.A","Timer.Blue","Timer.Red"
107755,4343.39,283.488
121590,2315.7,233.536
99053.5,2417.79,250.151
82260.5,2026.86,273.517
81295.2,962.8,-71.4955
92701,258.96,112.4
106680,470.61,128.182
80063.9,1525.54,1085.42
107339,1270.73,-162.3
81607.4,3163.96,271.743
84097.3,438.24,-3.1599
119949,547.8,569.884
74904.9,379.31,266.298
119901,3174.75,148.244
84963.9,313.74,-208.519
92759.8,63.08,2.53157
100080,3728.36,84.9676
88909.8,303.78,206.732
98125.3,2087.45,221.904
114774,3393.87,318.498
120889,2856.03,526.78
88332.3,-107.9,-82.3829
96063.1,7162.9,214.672
88242,1943.03,-213.06
102577,561.08,-121.286
106264,1659.17,555.051
120948,5718.7,355.676
110620,2656,177.918
115617,297.14,-3.54424
126060,1942.2,251.177
121073,1088.96,692.391
88136.3,267.26,147
94243.1,312.08,62.962
102701,426.62,-20.7323
118658,374.33,161.248
110595,2268.39,390.601
78980.3,55.61,-70.9848
121898,8181.31,677.951
95047.4,1347.92,604.247
93000.6,407.53,36.4565
108536,963.63,118.624
129483,387.61,-49.8746
106357,840.79,122.945
90685.7,1307.25,115.474
98102.9,2814.53,441.017
123918,599.26,418.777
77133.7,3097.56,-59.6379
76629.7,966.95,76.2949
98552.3,987.7,-81.0656
105456,3232.85,197.31
127994,4600.69,321.079
83443.5,9880.32,584.251
136720,2785.48,58.6743
86828,249.83,553.629
96919.2,1083.15,255.085
82418.7,839.13,55.8889
86650.9,1059.91,135.353
64059.1,1399.38,35.478
105833,3003.77,218.996
95312,269.75,47.5706
112960,272.24,47.7787
101977,7013.5,785.737
110205,1553.76,232.733
57540.7,-115.37,-52.395
112714,3708.44,481.356
109297,5191.65,197.118
94438.4,672.3,74.5991
98396.2,188.41,-33.1008
86049.6,188.41,37.7379
82723.2,294.65,-9.76617
141235,478.08,377.674
102812,549.46,227.633
75744.2,442.39,101.677
112967,5614.95,498.126
96137.3,2581.3,258.46
91527.8,3017.05,288.027
140614,2124.8,-21.1561
115756,2542.29,679.614
127217,3606.35,1249.01
100716,1926.43,67.7806
83594.7,197.54,663.574
122675,1844.26,95.7137
93088.8,2122.31,485.474
95190.2,101.26,572.37
109147,5345.2,376.925
86703.4,535.35,-36.6111
134826,816.72,-15.3216
105574,1539.65,564.772
108593,694.71,730.526
105890,1015.92,26.722
83039.6,2251.79,386.862
91238,297.14,-50.3662
107186,420.81,413.326
86307.2,1178.6,180.328
123882,3676.07,165.677
84880.6,149.4,242.174
97171.2,5017.35,548.97
107491,1786.16,212.488
86275.7,3201.31,192.208
118362,7504.03,931.195
77676.9,1562.89,85.8854
93961,282.2,39.0316
137307,1606.88,1294.99
106908,3321.66,360.472
96079.9,423.3,-104.2
116980,3243.64,331.676
101356,604.24,61.9339
117876,1263.26,74.2654
99245.3,3842.07,-38.7556
124263,1627.63,518.25
120872,5547.72,2441.81
84457.1,408.36,19.1301
105125,5100.35,630.213
92143.8,966.12,74.7755
114230,326.19,133.644
92464.4,379.31,19.2189
111955,5274.65,392.571
102759,2019.39,198.533
91102.2,735.38,848.911
91026.6,2360.52,207.029
104476,3003.77,3.96931
99397.9,1983.7,314.246
93107.7,438.24,49.8421
114953,3290.95,43.0743
99064,2260.92,29.1898
117517,1342.94,208.462
132364,5209.08,788.098
109207,1183.58,279.782
101279,1429.26,245.781
123484,6427.52,754.765
100707,838.3,-10.9003
120592,4286.95,642.019
92731.1,3122.46,460.408
111017,2195.35,603.112
97979,788.5,23.4397
91641.2,312.08,113.759
123911,490.53,250.963
106533,68.89,-68.4679
113342,1002.64,1114.07
107516,802.61,322.625
94402.7,444.88,391.917
101198,1673.28,-40.6737
59677.8,997.66,-103.422
91392,965.29,100.925
86185.4,906.36,-44.2626
103772,1418.47,457.837
105482,607.56,280.772
77994,1548.78,185.918
101539,6718.85,479.675
59031.7,873.99,488.095
66575.6,707.99,169.529
88569.6,939.56,260.396
110130,3222.89,539.173
100055,4399,300.332
132110,6257.37,641.337
89658.1,421.64,116.85
109074,970.27,575.72
104301,1763.75,369.938
95417,384.29,14.1559
83048.7,2307.4,25.7582
