"FSC.A","Timer.Blue","Timer.Red"
129154,286.35,90.627
106268,899.72,224.363
111899,952.84,-30.3472
113174,274.73,77.5585
123956,7551.34,636.117
105578,3222.06,196.143
81536,1301.44,146.139
130424,3474.38,862.742
98738.5,541.99,7.15601
112428,2351.39,413.517
98262.5,390.1,1050.02
118945,405.04,295.753
136367,442.39,329.513
83192.9,2498.3,-110.512
107987,245.68,-55.9568
129718,1967.1,166.254
135115,2928.24,269.233
115698,3448.65,293.613
68641.3,71.38,18.826
99847.3,353.58,45.2561
126079,347.77,481.87
127959,6321.28,397.17
97297.9,214.97,-238.592
112267,2622.8,1290.49
111107,2697.5,270.954
95542.3,339.47,-45.1653
135465,2172.11,635.192
91653.8,794.31,13.7025
93254.7,1228.4,35.0165
103278,1367.01,255.492
99439.9,469.78,58.3527
117543,3017.88,426.02
103064,373.5,451.995
101165,3590.58,185.66
120034,1741.34,-3.60773
126043,5083.75,425.214
92010.8,1726.4,-91.6096
120735,1652.53,263.525
121367,410.02,37.3846
105505,2042.63,225.044
96642.7,616.69,-142.535
97729.1,193.39,103.249
58633.4,1000.15,-40.0461
122154,1025.88,-9.32052
109892,1218.44,69.6656
96716.9,354.41,-149.781
122342,2563.87,811.149
112106,5370.1,140.479
114174,3249.45,1405.7
113616,2151.36,142.534
65564.8,-107.9,75.2778
107064,3883.57,256.456
84527.1,1411,37.5999
103517,195.88,-114.635
93363.9,7425.18,355.946
83686.4,1674.94,-32.8515
138743,282.2,-33.3631
119492,1561.23,180.044
105830,2404.51,559.041
121588,8079.22,653.137
101906,1020.9,175.601
125852,4233,252.819
80339,454.01,-83.0066
108562,472.27,155.168
87875.2,3403.83,194.16
101187,1660.83,-59.5503
99148,702.18,-21.3017
117750,9109.25,412.171
96315.8,776.05,35.1658
80377.5,991.85,76.3127
106423,293.82,24.8159
109543,1284.84,85.4713
106864,1013.43,39.6688
126685,4286.12,475.85
85747.2,410.85,-58.8813
105602,1990.34,-111.289
114977,3112.5,174.93
98361.2,179.28,-174.525
116509,362.71,157.354
107361,2381.27,11.3817
73723.3,317.89,120.388
106502,761.94,430.369
137857,11506.3,2360.57
81266.5,260.62,21.3723
93634.8,489.7,96.854
80446.8,5590.88,229.48
97761.3,3959.1,328.743
99229.2,1190.22,52.0758
113563,468.12,126.994
115429,2284.16,161.643
93898.7,221.61,130.411
102344,329.51,-14.6287
121104,193.39,-145.455
127100,5093.71,863.105
128188,5473.02,391.44
80253.6,147.74,-70.5456
92236.9,1811.89,-51.2934
118341,849.92,54.2597
119862,904.7,-125.137
119046,1130.46,293.891
119319,1363.69,102.219
105508,1753.79,99.5609
99190,224.1,3.18616
118794,5141.85,229.766
96997.6,2137.25,231.015
114953,2807.06,14.2733
117921,4749.26,233.51
133559,9921.82,443.688
80261.3,161.02,44.9409
110588,265.6,329.787
137703,1826.83,232.907
115271,2581.3,534.305
104478,2806.23,847.429
80300.5,516.26,-19.1076
115552,4007.24,303.923
125232,2103.22,205.486
105810,535.35,47.4817
116894,260.62,-153.219
97969.9,844.11,-56.7928
72377.9,166,-48.0244
127454,917.98,297.838
126111,5146,830.371
96584.6,449.03,95.3181
84349.3,2467.59,38.9293
111068,1708.97,165.892
89683.3,164.34,-98.1854
96558,710.48,204.476
97343.4,319.55,-69.85
98043.4,1137.1,483.388
105801,801.78,-47.7973
111442,4268.69,169.476
83933.5,394.25,145.112
123508,251.49,90.0737
101028,2571.34,2245.93
117397,80.51,-14.4436
82800.2,482.23,-38.2211
93970.1,207.5,-96.5703
97175.4,1674.11,385.481
115308,3285.97,171.465
88863.6,658.19,40.8122
85650.6,117.03,75.6234
117827,3509.24,199.7
91531.3,981.06,36.865
73901.8,1048.29,-126.293
134154,512.11,784.323
133214,1882.44,84.4761
122289,3697.65,150.907
108730,1013.43,382.509
126304,2514.07,1108.09
119553,5390.85,907.372
85570.8,99.6,156.624
82407.5,345.28,6.90103
90251.7,158.53,-76.7469
91161.7,34.03,36.9061
98728.7,1279.86,183.384
77906.5,76.36,-22.3668
90729.8,6669.05,439.232
113593,7052.51,359.879
70283.5,833.32,100.849
84267.4,395.91,7.14328
90684.3,1647.55,75.7509
94951.5,944.54,240.691
104161,1587.79,111.083
86759.4,1122.16,-59.8051
94855.6,1643.4,-11.7295
132185,3052.74,40.7907
118829,1308.08,139.56
96262.6,7234.28,587.952
98660.1,1855.88,191.316
135563,3686.86,231.844
132581,1099.75,59.3208
113406,417.49,-90.2386
140877,1353.73,86.5899
76770.4,166,820.697
90353.9,1995.32,59.8313
91446.6,340.3,202.371
108767,1094.77,56.3423
88513.6,112.05,-61.9633
99020.6,56.44,1.8168
126741,4471.21,40.9206
98954.1,2958.12,245.101
102361,1104.73,-62.3332
88062.1,739.53,-3.93752
102873,153.55,231.223
112711,508.79,82.7856
104444,1470.76,-14.228
142626,735.38,946.069
112251,1299.78,-49.0356
111386,3418.77,-64.5317
87666.6,53.95,16.3532
92341.9,1510.6,35.3272
94178,2104.05,-60.523
135017,1023.39,235.079
63927.5,860.71,903.758
109550,234.89,128.75
91338.8,337.81,24.6612
94780.7,1557.91,-82.8707
112685,7658.41,633.17
103479,3111.67,115.392
125931,4652.98,217.364
108561,400.89,288.42
140207,4925.22,636.649
131690,5328.6,438.776
106921,1397.72,245.496
131160,134.46,42.7683
130002,15125.9,3080.73
132537,1613.52,74.3337
109983,2441.86,59.7462
90076,78.02,14.2711
124195,323.7,-231.266
101958,632.46,164.665
121076,3949.97,284.894
111675,1260.77,-8.96112
101961,482.23,45.6616
79846.9,-10.79,28.8998
108897,2801.25,302.678
83029.8,521.24,-137.555
83752.2,1161.17,184.232
140505,3163.13,107.214
131957,4322.64,671.531
98769.3,2245.98,261.538
102338,585.15,-225.675
122240,1545.46,235.525
109885,209.16,58.8823
134203,7658.41,1086.1
119146,507.96,423.595
68401.9,139.44,422.04
64059.8,331.17,-16.5355
88488.4,322.87,-90.7522
118143,560.25,258.474
88365.9,206.67,129.081
78965.6,663.17,478.01
131758,672.3,482.839
84393.4,149.4,114.044
87731.7,747,-13.5854
75899.6,480.57,12.9269
100997,4753.41,364.719
86958.9,1835.13,110.021
104854,2338.11,595.393
119463,552.78,225.303
104057,3034.48,203.432
114832,1754.62,-68.827
103143,1714.78,312.281
82947.9,1325.51,-19.4877
110281,1126.31,131.106
110575,3492.64,-110.737
98905.8,729.57,106.059
110156,324.53,235.752
136444,5219.87,1665.76
98205.8,1014.26,74.7345
98105.7,431.6,53.2323
91445.2,1377.8,174.97
101520,2370.48,104.163
119592,4454.61,560.862
90687.1,1075.68,76.3449
95460.4,3276.01,114.658
100436,583.49,104.632
122034,2001.96,112.498
98125.3,179.28,1199.53
126286,687.24,384.748
94610.6,869.01,67.1785
111528,1407.68,60.8539
80082.1,469.78,-16.8478
121302,8817.92,389.255
88730.6,374.33,-165.121
87564.4,239.87,60.8289
80251.5,323.7,88.3913
99685.6,331.17,57.8
132614,1025.88,477.77
97929.3,6698.1,590.99
97916,1481.55,103.038
131255,839.13,86.477
76386.1,1274.05,248.769
69904.8,-81.34,18.4208
120547,214.14,294.616
101585,1575.34,175.832
118287,378.48,168.752
98767.9,119.52,159.509
124965,3854.52,2948.24
125318,1791.97,133.354
91644,542.82,28.58
82588.1,1288.99,33.2604
111224,746.17,64.7213
121047,3282.65,145.19
105176,116.2,257.74
95882.5,139.44,-131.02
136407,3532.48,1738.98
112844,1606.05,-3.99779
123934,5601.67,990.837
111402,1664.15,-67.2759
112243,3074.32,374.999
120372,532.86,122.15
100581,789.33,106.096
111593,796.8,-1.54048
105552,310.42,-159.017
129535,8134.83,941.209
117543,952.01,-50.5298
120644,2423.6,364.298
98436.1,200.86,-56.2026
83884.5,200.86,-101.211
103950,4144.19,111.12
125771,381.8,17.0217
82696.6,281.37,433.303
120000,3086.77,277.276
116761,1591.94,314.519
73050.6,-14.94,-8.55588
90983.2,2059.23,99.4689
124586,6598.5,106.967
106378,1393.57,228.52
97867,449.86,135.377
104324,5050.55,121.32
116558,2631.93,673.425
129639,4452.95,290.626
102715,19.09,106.726
125397,6083.9,1298.57
118262,1971.25,310.32
134798,1405.19,533.303
115634,359.39,101.164
111050,6602.65,245.519
74711,62.25,80.227
95009.6,1249.98,137.662
85163.4,1193.54,195.267
99487.5,2558.89,141.714
110530,1117.18,29.6712
104587,550.29,173.592
107734,5739.45,508.675
95650.8,559.42,280.281
115951,669.81,-41.6942
107248,3302.57,324.81
121286,3059.38,37.3373
101823,300.46,-126.163
85410.5,562.74,6.1625
104987,1326.34,116.723
102019,463.14,181.573
102976,311.25,-154.644
127060,1345.43,293.004
100202,824.19,220.748
135386,10023.9,1163.18
109383,299.63,27.3877
84757.4,1068.21,310.001
81282.6,1564.55,272.819
87748.5,618.35,32.166
121124,1826,269.801
109085,306.27,1041.53
113964,3549.08,918.991
96015.5,3158.98,156.457
140224,1109.71,165.585
83748.7,26.56,5.51005
88895.8,1800.27,16.3199
77508.9,1651.7,5.33065
111744,2087.45,299.32
96853.4,292.16,81.4122
102925,4190.67,480.19
92066.8,50.63,130.979
134033,526.22,362.645
84705.6,1985.36,101.147
108888,6688.14,422.078
110927,1763.75,152.08
90521.2,1003.47,347.561
93825.2,250.66,54.9896
134765,3216.25,937.656
123992,4330.11,133.26
126452,2134.76,109.452
106604,796.8,2.341
106420,1537.16,710.268
81700.5,2026.86,33.3942
93370.2,315.4,80.1481
100575,611.71,-3.12671
113893,3819.66,473.499
92094.8,1783.67,55.848
106054,7304.83,555.204
92158.5,443.22,134.115
106874,562.74,342.994
89210.8,1360.37,58.0989
130985,11732.9,977.045
133054,1025.05,-104.645
109810,376.82,353.836
92334.2,1034.18,16.8736
95330.9,264.77,-124.352
105020,138.61,5.56298
95607.4,253.15,-117.935
138088,1328,8.19197
124160,834.15,874.657
121377,1948.84,1149.79
124958,1930.58,431.93
113152,1247.49,398.835
80328.5,353.58,10.6501
124242,673.13,988.462
116540,996.83,92.5146
96527.2,102.92,-33.5009
114049,7436.8,432.617
67776.1,233.23,44.7512
125585,224.93,118.115
123178,870.67,314.769
105542,1806.91,143.629
103094,2280.01,-2.96711
90777.4,2148.04,221.923
104602,3728.36,157.197
107275,818.38,376.364
123174,3765.71,284.085
98823.2,3090.92,128.483
96456.5,307.93,48.1314
87938.2,786.01,19.2911
112685,2749.79,-335.382
115896,849.92,303.13
113321,3346.56,378.641
98986.3,763.6,101.828
87996.3,143.59,119.649
127376,1462.46,822.111
110258,5109.48,311.223
95386.9,1518.07,327.184
132436,5272.99,893.896
98620.2,1064.89,181.69
72390.5,245.68,-17.1608
102391,5794.23,281.092
99889.3,245.68,10.4594
102049,365.2,-212.168
99831.2,1877.46,291.834
127597,1190.22,1804.39
71362.2,163.51,-75.8528
135334,2651.02,360.159
123686,2595.41,269.473
114564,3205.46,158.67
122611,4287.78,495.627
125469,3055.23,193.752
122122,2907.49,-72.7342
83648.6,150.23,114.816
137334,1734.7,392.65
96985,1845.09,253.06
107775,4716.89,219.217
82636.4,3246.13,43.3741
106269,2732.36,429.323
108576,915.49,453.982
112066,456.5,30.4139
95307.1,855.73,-43.6835
124610,7200.25,586.558
111266,104.58,69.5828
80712.8,729.57,116.799
116706,759.45,84.6523
104702,81.34,-7.35562
121086,2963.1,287.447
88616.5,-83.83,-12.7574
101370,1566.21,53.388
109989,1606.05,47.3445
134737,6293.06,2878.33
106611,2223.57,277.805
115485,4797.4,351.534
122375,1557.08,289.124
134972,214.14,-124.366
108844,2009.43,332.363
124105,4003.09,47.1443
120623,8563.11,262.191
134827,1345.43,194.826
74753.7,822.53,-47.5446
124074,1069.04,113.633
96758.9,171.81,358.477
115257,249.83,200.546
128230,3207.95,84.8441
126044,193.39,29.3405
113740,4069.49,77.2328
119240,1062.4,197.086
130842,456.5,132.979
104637,2712.44,40.4078
108188,3485.17,281.376
125562,2521.54,274.424
100132,1892.4,98.4403
103953,3500.94,11.2817
117118,5385.04,269.619
116538,5434.84,397.141
110228,3793.93,375.757
95538.1,2071.68,148.601
121602,1228.4,244.914
129371,2386.25,725.03
96873.7,198.37,-103.407
125268,1057.42,-76.331
123852,177.62,49.5367
94473.4,950.35,43.5522
101224,4748.43,210.574
111923,1250.81,153.783
126220,8851.95,397.85
105671,227.42,686.478
104196,3319.17,128.216
110314,3934.2,301.617
112796,2708.29,490.25
105225,742.85,1568
132690,2613.67,-406.834
103658,2806.23,608.064
96352.2,3545.76,93.4128
92339.8,580.17,233.882
140300,3368.14,503.342
78946.7,438.24,-32.6527
135129,2377.12,162.221
80888.5,1934.73,-147.273
123666,7650.94,734.984
76134.8,-9.13,-33.9854
135993,4182.37,258.351
81195.1,2973.06,58.8231
96583.9,5961.89,469.162
103276,1269.9,133.207
107710,1406.85,-157.42
113725,2521.54,353.907
133771,8770.61,706.775
90688.5,195.05,-30.1958
91565.6,3568.17,52.8923
116339,307.93,257.169
124326,2826.98,28.8974
113928,61.42,-137.974
96572,706.33,-63.6857
120357,644.08,15.468
133183,2534.82,383.497
126920,1640.91,139.204
84760.2,297.97,-42.2304
108014,207.5,-146.83
94864.7,4467.06,169.341
100290,6553.68,332.956
91927.5,389.27,-8.84069
113329,1804.42,34.9598
93975.7,1502.3,111.277
99237.6,3461.93,58.8095
121035,2882.59,253.852
81782.4,541.99,17.5057
122689,3173.09,328.504
113093,4168.26,189.221
110946,868.18,291.033
119853,1927.26,-124.021
104156,1871.65,37.5096
135068,2560.55,963.345
89758.2,50.63,-142.672
125232,9901.07,1168.13
88523.4,1109.71,10.899
125383,1032.52,559.577
117229,3352.37,472.542
124932,2829.47,362.013
118959,3710.1,131.584
104784,4682.86,656.148
111214,991.85,170.42
80212.3,747,-4.62493
95365.2,1304.76,-19.0782
96143.6,278.88,-85.4593
134357,3923.41,676.449
71260.7,2215.27,-198.211
84557.9,487.21,97.7254
78971.9,785.18,52.5554
71700.3,1176.94,121.088
108116,9847.95,661.983
103328,568.55,264.161
101584,2539.8,-43.8694
107490,1738.02,174.502
83835.5,353.58,161.571
141293,1299.78,138.025
115924,244.02,-15.0657
110582,2371.31,130.873
130950,293.82,-89.7335
105177,3549.91,235.244
118103,1448.35,-72.5025
96685.4,954.5,26.2186
91948.5,-29.88,76.2911
106607,796.8,1.05893
130417,560.25,48.4964
101818,4859.65,94.365
109794,1909,462.148
115385,1187.73,-60.4812
94859.1,854.9,147.975
85103.2,1057.42,34.7011
92909.6,1409.34,-16.7035
120718,142.76,43.2227
123124,390.1,144.655
106096,2055.08,123.739
123248,1742.17,114.9
113265,936.24,90.4423
137712,8737.41,380.058
104072,1117.18,58.4454
129324,379.31,-39.0917
121605,573.53,113.521
123754,289.67,87.5176
106111,4323.47,323.454
130121,1108.88,288.596
129035,561.08,1064.82
111608,1121.33,59.4594
122170,11073.9,669.466
115756,2862.67,538.368
119286,1240.02,221.253
110014,3805.55,97.7439
98611.8,375.16,-63.5867
126638,820.04,-17.8129
92423.1,288.84,-90.4625
91669.9,959.48,-80.1589
103804,1580.32,-60.2
133517,881.46,147.7
67376.4,1328,252.141
102931,198.37,48.8689
135507,1697.35,65.3338
125388,7187.8,950.752
112437,414.17,315.795
98887.6,499.66,178.755
92992.9,214.14,-40.4765
128966,3422.92,167.207
110277,380.97,-12.905
133421,5562.66,782.066
113063,813.4,30.3708
77270.2,378.48,101.08
107320,5936.99,234.681
104752,1616.84,133.345
95937.1,2035.16,42.587
139375,642.42,148.409
135278,3308.38,640.478
128111,1728.06,295.369
110251,2494.15,30.4885
110492,1277.37,25.1279
94812.9,620.84,103.968
123936,1900.7,100.81
115359,8200.4,513.909
97972,1230.89,120.915
123563,5427.37,281.399
97682.2,147.74,9.37665
63207.2,151.06,-37.7924
130812,3682.71,48.4531
97100.5,1835.96,148.738
133817,1114.69,244.648
125532,5924.54,233.281
94822,369.35,-129.991
112429,988.53,475.423
107432,11341.1,337.959
102742,550.29,12.534
92290.1,22.41,-127.666
105090,375.99,21.7474
101377,2241,377.775
102339,41.5,136.227
111982,425.79,-246.102
115581,1350.41,77.439
119312,7406.92,573.712
132527,5411.6,220.64
89405.4,1174.45,29.3074
