"FSC.A","Timer.Blue","Timer.Red"
76521.9,251.49,3.46611
75575.5,-50.63,-79.4042
78367.1,68.06,-111.736
76584.9,1502.3,45.4755
71533,105.41,-37.7948
69640.2,804.27,-92.9599
64367.1,97.94,-66.3128
72300.9,305.44,-14.3284
65555,733.72,-38.9339
68540.5,196.71,-82.1134
70858.9,53.95,-12.5117
77746.2,717.12,21.4816
65847.6,188.41,10.2147
75186.3,808.42,1.50959
72978.5,311.25,-112.639
80781.4,432.43,-82.238
59567.9,87.15,8.76099
70287.7,685.58,-175.082
66599.4,-3.32,-104.35
68309.5,113.71,-21.1869
65212.7,502.98,61.3105
69286.7,201.69,44.784
75904.5,483.89,-84.514
65700.6,168.49,14.2771
73941,30.71,-85.9814
65711.8,116.2,1.05201
69785.1,747,-23.1246
70914.2,488.04,-32.1345
70369.6,-29.88,0.474007
66278.1,107.9,0.990518
64395.1,-29.05,35.2853
71656.2,86.32,-57.7677
75524.4,113.71,-13.7167
71640.1,40.67,-30.1752
70597.1,98.77,-6.2853
54951.4,-72.21,-121.85
65333.8,119.52,138.789
61420.1,-120.35,73.8938
72210.6,586.81,-5.21022
73831.8,4.98,-52.0785
76069.7,261.45,-40.7094
77952.7,100.43,-77.1647
74533.2,68.06,-59.7653
76359.5,-67.23,-26.0772
77659.4,-22.41,20.6185
57361.5,477.25,222.017
72879.1,114.54,-10.8173
60022.2,336.98,123.093
70280.7,269.75,27.4252
79821.7,342.79,40.208
75691.7,295.48,-38.4378
75744.9,86.32,82.2089
68873.7,198.37,58.7077
61659.5,169.32,24.7492
75726,1166.15,-14.4966
68880.7,-67.23,-47.7113
69409.9,64.74,22.3416
67355.4,405.87,-39.0012
71998.5,653.21,-16.9547
80434.2,531.2,191.097
82340.3,664,-75.3573
75683.3,688.9,-11.9728
69288.1,236.55,19.6469
65026.5,354.41,-22.5113
75776.4,219.95,42.6782
63776.3,415,80.9665
77242.9,1446.69,-17.3111
60896.5,9.96,-35.5151
75019.7,14.94,-30.8449
64284.5,165.17,9.71312
73129,43.16,49.3513
74799.2,532.03,-86.0339
70970.2,583.49,57.7245
73834.6,784.35,11.6077
72221.8,160.19,-27.2877
66260.6,55.61,-68.3561
66393.6,669.81,9.94142
69412,43.16,27.1732
72835,1039.16,-13.3948
61973.1,328.68,-63.8511
75175.8,971.93,10.3589
74403,47.31,-98.4681
72266.6,39.84,1.24664
68469.1,97.11,-10.0462
70572.6,1191.05,50.2153
75691,229.91,12.5545
79150.4,208.33,-12.566
74985.4,80.51,-28.2262
71417.5,42.33,61.9914
68228.3,43.99,-13.3202
76706.7,543.65,-49.564
70743.4,469.78,122.414
74271.4,60.59,-72.5708
69783.7,205.84,47.444
74189.5,175.13,81.4324
66202.5,580.17,63.9464
71703.8,95.45,6.37302
71633.8,365.2,-10.1675
69287.4,116.2,-72.8451
78153.6,64.74,34.871
75224.8,371.84,99.3275
69051.5,133.63,37.7974
75357.1,147.74,15.4725
68266.1,139.44,14.2422
71960.7,820.87,101.081
75382.3,91.3,-74.1439
69720.7,984.38,-15.6351
68682.6,472.27,50.6951
73425.8,923.79,-66.9192
71578.5,239.87,35.419
74957.4,314.57,-35.2333
71192.8,87.15,-51.0999
69050.1,171.81,-49.075
71354.5,222.44,2.57256
75841.5,1.66,55.2462
82530.7,304.61,136.013
75347.3,290.5,-69.6276
80087.7,78.85,-64.1178
75674.9,351.09,-57.3954
66982.3,136.95,-27.8452
74517.1,463.14,-2.58854
68019.7,322.04,-40.5881
67599,249,10.5048
71786.4,-107.9,-129.587
77666.4,160.19,60.9634
75012,447.37,187.101
71528.8,198.37,1.48598
55930.7,146.08,-54.2459
77171.5,1013.43,-26.6361
68280.8,263.11,-67.8741
65302.3,63.08,-5.60257
68592.3,449.03,-147.657
71274,247.34,-13.7201
76286.7,39.01,-26.9293
74531.8,145.25,-30.2388
68966.1,110.39,-85.3976
72991.8,18.26,-134.051
69629,782.69,4.97789
65265.9,-48.97,-31.1593
69646.5,515.43,-46.5863
73077.9,74.7,-2.20521
71261.4,39.01,14.513
66117.1,36.52,131.254
78194.2,1300.61,29.5418
68372.5,57.27,29.5046
67714.5,322.87,-62.5015
67301.5,-77.19,40.816
63885.5,115.37,-82.2651
74165,91.3,6.26237
73690.4,345.28,-43.2578
65520.7,7.47,6.13334
68138.7,106.24,28.0427
68927.6,1285.67,115.076
71627.5,140.27,80.9436
73493.7,137.78,-24.279
72345.7,244.85,-11.6392
73181.5,50.63,72.349
67177.6,384.29,-37.457
60152.4,405.04,17.1683
63382.2,979.4,-4.38167
71567.3,517.09,-52.1111
72199.4,-15.77,12.0952
70639.8,-24.07,-110.589
73689,424.13,-36.0947
73798.9,366.03,94.2337
75955.6,76.36,-65.0364
68045.6,67.23,-55.0671
69906.2,1234.21,163.301
