"FSC.A","Timer.Blue","Timer.Red"
74074,-2.49,-3.34738
106320,1952.16,175.197
109028,2626.95,96.4417
95993.8,666.49,388.115
111787,2251.79,856.131
96139.4,673.96,434.763
92493.1,1401.87,240.072
92065.4,100.43,713.755
85759.8,551.95,44.9936
92344.7,2395.38,522.37
101905,518.75,319.531
136034,1347.92,1203.19
83805.4,171.81,78.6379
84889,138.61,38.0252
100159,772.73,172.007
104624,2961.44,726.328
91433.3,1122.99,258.931
79482.9,104.58,-89.5854
103068,403.38,108.924
106741,833.32,249.463
92005.2,1279.86,320.594
82863.9,2785.48,80.5121
97436.5,4108.5,373.722
114863,8035.23,1702.11
108284,967.78,457.074
110809,200.86,-8.02296
104756,2748.13,268.251
111416,1867.5,480.035
81018,394.25,51.2949
90881,1154.53,484.964
108557,3270.2,712.56
125658,2368.82,462.211
107463,265.6,90.3233
93660,273.9,47.6462
90136.2,835.81,-91.4878
104706,870.67,323.312
79947,35.69,-12.906
97038.2,2770.54,674.774
93544.5,239.04,167.008
112804,1866.67,400.346
75636.4,1440.88,57.2448
71931.3,0,-31.7434
71251.6,296.31,123.649
67358.2,3063.53,171.615
93832.2,1167.81,843.893
90121.5,609.22,290.331
95935.7,1122.16,146.18
65873.5,3430.39,354.153
71166.2,274.73,-79.2385
91991.9,623.33,19.8137
81900.7,436.58,61.2401
81048.1,1347.09,953.978
86370.9,184.26,124.961
81645.9,488.04,43.7321
123208,6075.6,682.107
93125.9,2469.25,325.115
101585,693.05,433.05
69335,-138.61,-91.6054
100460,511.28,141.774
86332.4,2276.69,147.558
90242.6,1713.95,368.783
119403,2050.93,331.848
81695.6,464.8,-12.9203
102157,1350.41,247.389
90801.2,153.55,197.018
135043,4793.25,713.527
109869,1611.86,305.048
109495,4851.35,570.986
101854,373.5,102.381
120558,2294.12,327.88
88391.8,3312.53,478.255
72741.2,338.64,38.8216
80099.6,517.92,123.522
102268,1398.55,312.151
93352.7,576.02,-125.493
113740,2786.31,395.367
83094.9,502.98,77.1337
90664.7,813.4,76.7101
86513,1430.92,356.547
98495.6,2533.99,503.05
95210.5,97.94,91.3379
85852.9,90.47,134.854
114147,4765.03,445.936
118813,664.83,241.667
81667.6,1228.4,193.221
93484.3,1435.9,2.50714
88957.4,156.04,78.3616
82923.4,365.2,162.61
119148,668.15,56.6886
74624.9,1068.21,106.455
90831.3,2024.37,427.149
83787.2,273.9,-68.9332
88642.4,109.56,98.0263
100169,4316,1066.48
86245.6,1453.33,637.48
95067,1500.64,459.887
103138,2646.04,604.147
110745,1113.03,670.821
119086,903.87,823.012
103578,171.81,-41.2987
105505,1517.24,346.579
103905,387.61,49.5292
65788.1,65.57,60.2859
111649,5648.98,507.813
83207.6,120.35,131.826
88512.2,2538.97,716.108
81070.5,350.26,48.2028
72940,36.52,47.0348
69373.5,30.71,78.4088
94784.9,151.89,-63.6481
81510.1,263.94,146.458
84395.5,269.75,336.058
92628.2,201.69,31.9489
79201.5,431.6,-24.5585
110227,824.19,2345.45
91599.9,-12.45,30.5843
104299,255.64,-140.593
106852,4624.76,737.938
103596,537.01,143.271
76653.5,181.77,27.1609
79773.4,965.29,146.935
93656.5,1249.15,92.719
64668.8,72.21,-22.0239
114690,4032.14,559.063
106370,1877.46,284.725
93742.6,608.39,162.543
85400,219.95,176.979
78495.2,175.96,44.1126
92162.7,880.63,82.2745
101935,616.69,99.8333
85240.4,299.63,-69.3222
100136,4584.92,962.982
93891,1168.64,156.909
97367.9,688.07,48.7127
78339.8,712.97,319.089
102231,1596.09,52.4625
68959.1,86.32,252.638
89733.7,4524.33,296.689
87033.8,894.74,294.519
73100.3,516.26,-4.71837
106889,615.86,96.2968
91060.9,4876.25,302.544
92404.2,143.59,-149.091
95132.1,1632.61,224.727
98668.5,474.76,371.87
93821,2000.3,28.1229
73948,2370.48,-18.3441
82976.6,117.86,-113.253
95869.9,1948.01,-142.576
110240,991.85,76.5563
89262.6,580.17,103.624
94524.5,1620.16,218.029
88216.1,1221.76,367.443
70452.9,164.34,63.5733
93312.1,206.67,293.093
121657,234.89,330.17
82169.5,166.83,-114.025
81510.1,85.49,-114.495
108166,1389.42,829.811
96040,190.07,-89.6515
101347,410.85,226.877
94206,138.61,48.6413
89423.6,430.77,148.725
112566,3614.65,851.416
73547.6,209.99,57.0038
90475.7,3658.64,362.571
99920.8,4950.95,630.202
101474,677.28,220.356
109064,1722.25,467.743
74613.7,233.23,-0.93573
80153.5,220.78,-28.4939
114149,735.38,401.596
76571.6,362.71,-10.1605
80129,364.37,238.814
88076.1,311.25,-31.4178
99354.5,4508.56,783.876
100601,202.52,160.307
98695.1,849.92,193.99
101487,304.61,368.671
85108.1,1025.05,35.4471
74840.5,62.25,54.1605
93391.9,1228.4,272.921
124298,456.5,349.431
107992,185.09,37.3383
116983,258.13,229.972
97225.8,92.13,-57.3647
91794.5,798.46,417.891
90491.8,263.11,-0.297673
101757,438.24,187.149
78245.3,644.91,-81.4935
77502.6,-19.92,10.6686
88656.4,214.97,257.74
80056.2,1781.18,181.56
105159,165.17,-33.9643
74279.1,708.82,9.24469
90403.6,3830.45,308.629
87045,1798.61,172.909
107430,5296.23,790.209
89961.9,1393.57,170.816
116780,894.74,322.839
83734.7,514.6,238.76
79024.4,548.63,131.29
102509,831.66,151.588
114456,1131.29,692.821
97988.8,1448.35,762.3
93078.3,332,95.7535
105981,2031.01,494.188
92564.5,585.15,-113.864
74037.6,82.17,286.889
100381,313.74,-2.35957
82924.8,171.81,488.306
73280.2,148.57,-69.2533
107940,214.97,0.904037
74753.7,167.66,4.84884
80754.8,623.33,99.3195
79028.6,150.23,7.68347
97690.6,771.07,411.027
100623,657.36,430.283
85983.8,1358.71,33.049
86532.6,1972.91,471.093
104185,1338.79,513.346
87515.4,2994.64,451.988
87151.4,1165.32,164.159
92530.2,758.62,134.826
104334,768.58,755.723
103270,667.32,27.8122
92962.8,4004.75,422.218
101122,4096.88,309.545
79394,106.24,112.517
100012,956.99,168.89
114833,1830.15,664.143
96153.4,2818.68,587.567
77081.9,247.34,435.552
85159.2,2211.12,112.817
92732.5,1653.36,111.58
88512.9,1035.84,1295.57
79909.2,654.04,129.59
96354.3,317.06,433.976
83385.4,156.87,-3.06326
99131.2,189.24,-63.5643
103850,2528.18,460.089
105944,2468.42,369.21
89786.9,1908.17,478.885
109966,556.1,50.7627
102136,1764.58,257.342
91488.6,3191.35,375.846
96780.6,883.95,142.537
56193.9,2426.92,115.097
107757,3969.06,566.874
99524.6,2823.66,260.828
100465,551.12,303.438
87721.9,179.28,343.476
102138,1459.14,825.008
77289.8,1081.49,96.4672
92221.5,217.46,804.023
86195.2,819.21,508.055
92072.4,524.56,35.4387
81307.1,219.12,408.787
97160,818.38,168.421
87626,698.86,17.5417
90733.3,485.55,133.608
113098,3210.44,762.404
85270.5,238.21,358.729
99690.5,3880.25,741.87
94530.8,4838.9,356.329
97748,3312.53,1046.21
82339.6,493.85,34.967
71624,294.65,25.2327
96142.2,595.94,154.879
89686.1,1061.57,282.578
83644.4,161.02,47.9116
99472.1,1526.37,103.359
78477.7,510.45,124.799
84480.9,1309.74,92.4064
94609.2,3049.42,81.3949
78762.6,88.81,-9.61654
98866.6,425.79,75.6498
75175.8,1864.18,54.7793
93433.2,326.19,18.0669
84538.3,311.25,28.9829
88900,1776.2,247.347
97043.8,381.8,57.6819
96964,1664.98,930.776
98505.4,1938.88,238.507
89894.7,63.08,-155.419
97218.8,158.53,131.307
99800.4,2042.63,216.859
75927.6,359.39,12.8052
87369.8,2365.5,230.808
120317,1643.4,144.392
83537.3,648.23,156.404
79151.8,1925.6,134.766
67171.3,6.64,-89.5761
79028.6,1325.51,86.0169
83894.3,3242.81,214.758
87182.2,661.51,176.73
74937.8,839.96,76.7867
75884.2,124.5,6.7946
100524,1072.36,310.959
76663.3,411.68,103.322
87602.9,1892.4,119.14
71904.7,1183.58,164.292
82846.4,830,400.107
75197.5,151.06,-32.4512
96317.2,1198.52,145.767
99487.5,79.68,-86.5717
70950.6,431.6,-106.556
81657.8,1328.83,28.5313
84994.7,1654.19,392.841
69993.7,379.31,-38.0172
80490.2,693.88,459.773
103734,1348.75,195.699
111677,568.55,125.766
90548.5,362.71,114.359
96769.4,1743.83,419.538
103054,624.16,-57.8423
73836,194.22,71.1292
99809.5,222.44,25.7779
93100,475.59,418.259
106526,455.67,-171.571
103454,849.09,1427.74
103496,376.82,53.1261
76517.7,1307.25,509.708
96777.8,2364.67,204.619
74109,210.82,42.2117
84497.7,708.82,204.499
80468.5,250.66,-6.20707
108195,4565.83,358.563
108182,1572.02,263.59
86468.2,452.35,110.035
87068.8,249,-17.2111
58876.3,75.53,7.95827
93226.7,2010.26,498.503
104079,477.25,-6.53584
86951.2,2695.84,612.772
76212.5,745.34,285.393
77677.6,-40.67,74.5509
79229.5,146.08,-67.7218
99727.6,3963.25,338.855
82749.1,445.71,123.733
93493.4,2600.39,268.81
73594.5,463.14,400.077
74501,92.13,88.7491
84879.9,976.91,-108.387
74946.9,125.33,65.9756
103683,2167.96,138.781
96825.4,268.09,325.693
95310.6,1087.3,124.321
94693.2,1581.98,134.458
91188.3,5186.67,167.474
76293,271.41,13.0756
95691.4,4167.43,936.777
117289,518.75,29.6891
71158.5,307.1,-12.1058
79897.3,190.9,121.273
67439.4,2993.81,621.098
69904.1,368.52,7.82868
86830.1,990.19,261.629
72961,283.03,-72.27
99124.2,1656.68,141.701
112858,5024.82,1511.82
91294,547.8,116.894
75898.2,5.81,-84.1226
87481.8,219.95,-59.0828
96131,31.54,36.4827
73731.7,283.03,43.7913
86697.1,105.41,31.8638
84398.3,150.23,23.2511
110415,1189.39,515.148
91590.8,323.7,-77.5292
96577.6,3114.16,591.383
67702.6,3193.01,259.38
99699.6,3549.08,330.76
85129.1,201.69,31.8305
98991.2,810.91,414.838
97514.2,1085.64,115.991
87448.2,858.22,287.444
109438,354.41,533.154
110223,2794.61,230.465
97240.5,1422.62,255.844
100818,513.77,174.13
81324.6,967.78,166.963
82625.9,461.48,43.1817
93900.1,864.03,533.42
93487.1,3577.3,173.218
100583,1263.26,267.474
