"FSC.A","Timer.Blue","Timer.Red"
115303,1569.53,-244.644
121570,229.91,93.7326
141190,6940.46,154.326
138082,3141.55,496.46
116703,1624.31,318.981
130178,3586.43,55.576
136448,3443.67,72.7946
131486,503.81,37.6525
93785.3,205.01,164.32
119643,1979.55,46.3558
130668,769.41,192.783
129117,2123.97,459.137
94369.1,351.09,9.04789
134266,8607.1,563.339
89251.4,941.22,30.4939
103314,3123.29,306.405
104959,917.98,-115.941
134688,9588.99,427.33
125668,10882.1,913.703
119859,3451.14,152.274
99139.6,3793.93,2744.58
115451,3195.5,428.571
132127,1412.66,-3.33113
80112.9,2795.44,170.278
114784,1401.87,-14.7171
121199,680.6,-85.2421
131543,4126.76,1117.8
114249,917.98,21.0375
90083.7,-19.09,173.748
123302,6729.64,573.162
103335,2605.37,354.849
112591,6811.81,392.223
97862.8,2806.23,454.491
128908,2694.18,114.549
130607,4467.89,385.421
111312,8312.45,506.352
125985,1097.26,271.2
126795,4023.01,561.44
120144,212.48,89.1924
124164,3601.37,189.014
106090,3019.54,-60.1819
90299.3,1858.37,380.483
126440,2557.23,108.484
109687,4014.71,76.3652
117456,5187.5,-130.997
112183,4096.05,345.476
115221,1927.26,-208.229
111566,1853.39,297.766
139870,2787.97,346.717
131356,7186.14,400.006
140042,887.27,290.976
116813,97.94,-100.242
113197,1498.15,20.0837
114875,3288.46,51.5922
105888,2874.29,221.764
121384,2927.41,743.491
109270,159.36,-33.3719
105676,583.49,95.1464
114588,7956.38,946.878
105460,239.87,144.847
93230.9,4828.11,-88.2127
106595,1890.74,150.73
107859,409.19,58.4481
82670,1625.14,102.037
133738,1731.38,54.0518
122110,571.87,27.7664
136067,1733.04,317.212
120217,6716.36,37.6136
109730,1741.34,74.6572
118475,1337.96,-15.4148
127589,567.72,194.217
114464,355.24,47.2258
92235.5,1200.18,312.264
139106,3759.07,195.058
132402,991.85,105.443
106232,167.66,-112.376
109039,180.94,-173.861
79410.1,322.87,39.0939
107767,799.29,-63.8804
84412.3,1015.92,128.447
114540,2298.27,93.1768
128136,2267.56,476.022
109805,2291.63,165.98
101922,193.39,193.135
126212,2299.93,-117.803
87458.7,227.42,-77.495
109670,3512.56,128.051
127364,551.95,327.83
99755.6,4828.11,660.575
119160,11577.7,510.871
132831,7789.55,1284.76
112911,7254.2,328.849
95064.2,1103.07,212.697
109255,2690.03,199.662
125670,8673.5,514.315
76800.5,432.43,-39.6739
110848,307.1,-220.447
121133,316.23,-65.7703
130080,422.47,74.4457
98728.7,362.71,207.622
136076,1411.83,0.752119
111606,4208.93,283.063
105255,1135.44,159.411
126519,3876.93,552.471
128071,1286.5,192.374
120235,5111.14,148.84
104848,2303.25,493.455
98234.5,114.54,45.1
137216,1334.64,-81.8909
113096,2886.74,124.456
131957,1498.98,318.446
125445,4901.98,258.682
115049,6245.75,123.459
120905,3841.24,358.253
128521,330.34,239.152
123107,8839.5,-2.29661
92998.5,136.12,137.476
97544.3,483.89,-46.1403
122609,3433.71,-107.014
109373,4162.45,436.409
72512.3,2208.63,59.894
114814,2187.05,3514.19
126962,1962.12,465.233
112169,4401.49,620.444
87334.1,232.4,1.31367
134612,2197.84,257.299
124098,8246.05,915.415
132013,1514.75,191.729
78782.9,956.99,156.113
113553,2352.22,210.268
89138,1393.57,61.3204
106667,790.16,-15.6673
99477,795.97,-220.577
119919,671.47,175.34
99724.8,26.56,15.5465
98875,6255.71,97.4886
121013,6485.62,894.783
114396,1426.77,88.2214
102613,164.34,-75.0413
135974,1797.78,5363.84
121234,3510.9,213.268
123077,113.71,-33.3958
126589,5194.97,339.672
120189,1256.62,122.469
96238.8,1547.12,203.046
103566,1357.05,109.706
85675.1,542.82,165.525
95221.7,927.94,136.781
133028,1552.93,268.038
102080,2926.58,266.416
76916.7,0.83,14.3195
104637,1167.81,105.254
107904,9355.76,288.525
96960.5,48.97,-102.366
93969.4,972.76,239.509
133082,9165.69,286.626
131426,2155.51,435.02
107129,497.17,1.29525
94357.9,1673.28,91.94
97607.3,2587.11,47.715
104892,3640.38,70.627
108211,2438.54,424.155
104646,2045.12,217.319
114471,745.34,52.2383
83394.5,202.52,30.6551
97774.6,1994.49,261.078
133652,3328.3,146.378
116509,1979.55,313.248
111635,2490.83,78.7178
93146.2,295.48,107.933
113828,1885.76,34.2607
113767,2714.1,376.201
121930,1371.99,391.977
115207,4960.08,376.159
124636,1504.79,501.228
105492,103.75,-102.279
129625,3107.52,334.476
107547,2757.26,220.164
130672,209.99,252.627
131023,417.49,293.61
119923,2338.11,323.164
117165,605.07,859.514
79458.4,327.02,153.025
113984,3347.39,139.43
101989,2734.02,92.3678
88949.7,819.21,-31.0866
113820,6361.95,56.9272
116288,2921.6,127.387
132138,8074.24,373.304
92539.3,19.92,186.806
132355,8828.71,335.948
109045,1235.04,-25.2221
102561,1168.64,-23.7476
120013,5159.28,-193.973
111910,941.22,58.5989
94042.2,1673.28,114.537
91380.1,1437.56,48.854
137078,1129.63,-16.8386
100026,3201.31,344.879
139469,9240.39,556.672
91038.5,849.92,-19.399
114582,2101.56,149.86
86951.2,836.64,269.933
77006.3,3223.72,-57.2122
136991,3111.67,221.109
117085,1300.61,410.307
141643,1909.83,-116.313
113409,438.24,38.972
119869,3114.16,176.045
114892,668.15,54.5226
95870.6,97.11,-78.0218
119430,1581.98,57.2586
93167.2,2278.35,250.989
138748,2383.76,4029.86
111502,1310.57,-54.257
74753.7,602.58,39.0638
130905,828.34,10.8244
117153,348.6,145.461
118647,1874.14,111.932
108424,2321.51,47.792
97220.2,798.46,258.102
118408,3201.31,179.806
118996,1175.28,203.928
104574,472.27,-77.6203
109908,883.12,103.837
113247,911.34,-93.3561
111587,1149.55,74.9371
94952.9,3152.34,377.673
102101,471.44,260.954
116352,1941.37,-70.1278
122277,1469.93,287.828
97517,1191.05,57.0156
105747,744.51,-31.8654
109374,1274.05,-17.9736
126690,6803.51,351.286
102506,7611.1,393.731
106940,4611.48,197.102
111090,1388.59,242.377
124503,5663.09,340.992
124883,3933.37,202.501
126170,2688.37,13.1033
112339,4811.51,304.891
109790,5155.96,-41.6132
102527,89.64,56.9551
86335.2,131.97,142.578
114052,387.61,-15.8576
89306,1074.02,8.53799
121418,229.91,-305.796
119333,410.02,97.531
117111,2508.26,16.51
78635.2,1757.11,25.5231
100386,832.49,-201.029
119900,224.93,287.333
117181,625.82,206.911
112787,1152.87,-54.5454
136842,2319.85,338.856
111654,156.04,-90.9226
119753,2209.46,497.359
108205,1872.48,81.873
105983,273.07,178.652
102510,2423.6,45.2406
126110,4504.41,112.718
121033,888.93,170.267
117429,1131.29,522.714
127037,4572.47,831.793
109186,2338.11,48.7179
127970,2262.58,110.265
99500.1,650.72,45.2448
111245,1697.35,114.791
115536,3349.05,386.819
138112,5789.25,378.075
118696,499.66,55.111
134875,6024.14,162.125
91224.7,1908.17,-11.478
110827,4788.27,420.048
112071,47.31,-157.737
108924,207.5,133.127
111960,1010.94,228.651
125018,493.85,143.262
93272.9,1053.27,-109.495
110550,6023.31,384.95
126608,3234.51,148.949
85048.6,769.41,113.084
117296,186.75,179.419
82067.3,141.93,9.8531
