"FSC.A","Timer.Blue","Timer.Red"
115732,1096.43,-129.26
100859,759.45,356.137
81278.4,891.42,-5.5228
82032.3,47.31,214.745
109644,151.89,-16.985
118773,1258.28,203.971
102546,1476.57,66.0295
99600.9,6077.26,402.016
113962,3249.45,82.8332
121565,756.13,50.705
91886.9,1329.66,-110.143
107323,4767.52,226.563
92157.1,133.63,79.0591
101521,39.84,-71.9592
109539,1429.26,38.4937
108068,2710.78,336.269
105759,1879.12,187.575
126458,1876.63,426.999
101308,1261.6,170.092
104289,698.03,185.09
116347,845.77,78.4816
94269,112.05,44.7824
115161,341.96,637.264
134042,4872.1,1024.84
108174,381.8,53.3364
89103.7,87.98,-162.886
79506.7,1353.73,175.446
73145.8,2386.25,489.373
103173,4392.36,658.148
107095,729.57,372.89
107498,4214.74,72.1691
68826.8,179.28,-31.0101
104259,1538.82,145.374
105285,1180.26,181.157
79763.6,402.55,-51.7945
121104,4508.56,1086.3
118538,1055.76,7.19426
138988,4425.56,161.899
82486.6,103.75,96.0322
108340,1210.14,208.934
136669,194.22,176.955
109143,1098.09,27.5374
128083,279.71,41.4248
102764,841.62,124.04
78201.2,29.05,-9.81113
105281,2816.19,-226.628
79671.2,1158.68,410.536
121706,1726.4,143.993
127725,3108.35,181.391
103751,1205.99,-51.1446
105397,524.56,-29.6617
134037,5307.02,553.96
96552.4,179.28,-15.6195
114564,7369.57,1019.59
95619.3,3016.22,176.522
103282,782.69,272.256
110956,1405.19,2267.23
113543,3110.84,61.9853
122158,537.84,1182.09
76059.9,4323.47,239.473
117833,1791.97,96.0574
139001,10015.6,1276.8
74291,275.56,-15.3868
77448,152.72,123.944
113460,482.23,78.3081
101466,3053.57,17.137
68970.3,-30.71,49.7409
111392,48.97,-173.108
108269,1074.85,96.9804
105855,557.76,50.9694
124580,1068.21,389.447
101263,1694.86,298.232
112967,2029.35,408.286
111856,161.02,-46.3898
102994,819.21,183.984
88412.1,2471.74,-4.28566
127749,5575.11,371.707
79002.7,86.32,32.2051
94327.1,678.11,351.954
125002,153.55,-103.549
79020.9,1127.97,19.2423
93801.4,106.24,51.0818
80162.6,205.84,-34.5388
85990.1,1048.29,22.0353
91993.3,453.18,2101.71
107759,833.32,143.884
115085,2402.02,158.375
107043,1253.3,202.353
100832,963.63,125.051
86936.5,14.11,-65.3484
123853,398.4,-50.067
88867.1,1079.83,26.3988
97825.7,3501.77,-86.1465
123299,2263.41,167.574
111386,7573.75,474.096
92969.1,653.21,19.8878
115303,11902.2,1137.41
135113,4805.7,407.489
135836,317.89,-176.885
124238,2004.45,227.273
108972,24.9,5.37134
111151,807.59,14.0263
66828.3,249,-12.4311
112653,706.33,1870.28
119400,1376.97,488.65
111455,3133.25,399.64
119041,1718.93,343.518
122015,4296.08,-102.266
107502,111.22,-399.586
93734.2,761.11,285.227
85392.3,2545.61,87.2452
82667.2,3.32,13.8292
134225,871.5,296.774
92325.8,632.46,184.213
96798.8,125.33,-86.366
139348,3969.06,368.206
106966,2335.62,433.064
111192,512.94,-146.484
116001,4980,262.546
79492,135.29,66.0764
108629,830.83,93.6943
136134,6395.15,607.932
111859,161.02,-165.003
124074,4799.89,638.771
129886,6256.54,469.492
99669.5,961.14,-74.4308
138377,6060.66,3058.86
104627,2653.51,146.725
104393,3778.99,116.381
89222.7,466.46,41.8624
89355.7,402.55,516.819
89922.7,580.17,-150.141
91284.2,1452.5,-24.5176
85217.3,1010.94,162.234
93178.4,3846.22,282.512
99372,291.33,-5.08429
126253,1927.26,271.772
92134.7,763.6,95.1646
107557,724.59,92.6873
98868.7,453.18,114.768
73867.5,240.7,-4.23663
132368,3587.26,240.429
115712,483.89,341.931
84899.5,58.93,174.471
71995.7,166,-41.0979
116635,673.96,42.5842
81507.3,63.08,410.219
131536,1094.77,168.054
93319.8,57.27,42.2458
123857,1014.26,118.724
95191.6,7247.56,259.542
95045.3,1570.36,72.776
128219,5218.21,311.61
108736,3630.42,262.676
119294,1307.25,96.965
133035,3827.96,287.242
116733,262.28,122.069
95452.7,1826,6.3739
97175.4,4218.89,220.389
119008,589.3,25.0044
120405,4020.52,227.389
103108,2924.92,280.118
93814.7,909.68,-57.6975
117964,2207.8,587.55
86559.2,167.66,32.7068
132713,3153.17,1385.02
95797.1,673.13,149.537
109694,5081.26,623.514
97454.7,345.28,138.915
95305.7,351.92,258.472
116832,2277.52,162.182
125314,268.09,-80.0995
110830,991.85,259.028
129049,9304.3,607.53
128118,1406.02,320.306
97657,5092.05,-59.7368
98062.3,2631.93,90.1529
108864,5619.93,490.706
126272,2603.71,96.1033
100815,4316.83,193.699
126815,7411.9,-111.737
90291.6,1792.8,13.46
131623,6084.73,686.49
110473,2064.21,191.8
99155.7,1730.55,206.353
110774,928.77,112.322
86873.5,219.12,46.0955
105267,107.07,-127.102
101773,632.46,-6.10162
118173,3333.28,72.1765
102944,833.32,47.9602
104518,745.34,-79.3312
116738,3589.75,565.524
118567,3974.04,122.636
104982,1487.36,104.293
118083,4174.07,943.339
97820.1,175.13,17.9002
110526,561.08,244.349
107283,979.4,167.614
104511,2120.65,57.5107
109814,1173.62,-68.7406
102801,1157.02,143.959
99533,1084.81,-3.80154
88895.1,693.88,962.922
118481,1987.85,170.292
106581,399.23,252.096
