"FSC.A","Timer.Blue","Timer.Red"
94537.8,228.25,-49.597
108204,2058.4,704.156
102495,1272.39,132.44
104160,1028.37,764.429
110002,759.45,95.0997
103318,2577.15,61.4137
117815,1586.96,258.279
107049,1330.49,504.83
104224,4484.49,157.87
91485.1,167.66,-83.8402
115250,610.05,127.375
81008.2,54.78,-89.1028
110267,4457.1,709.06
116982,6005.05,143.499
120184,257.3,-4.49007
105732,1307.25,311.89
73929.1,97.94,77.439
102506,2256.77,193.523
83894.3,2499.13,-22.1579
125241,1731.38,286.072
71444.1,775.22,49.4122
96353.6,1466.61,284.107
87843,1308.91,24.7045
137693,1828.49,-44.1258
83944,432.43,-107.125
96469.1,1071.53,153.434
85519.7,103.75,-102.256
95916.1,1606.05,301.545
118305,4522.67,136.513
124347,1342.94,1449.4
91627.9,777.71,-74.3871
111067,1490.68,452.868
127625,3121.63,1950.9
134877,229.91,227.656
115667,3701.8,199.867
124636,663.17,335.49
101448,795.14,15.5351
100869,1012.6,205.791
118895,985.21,182.404
86105.6,2403.68,89.0191
90959.4,205.84,24.4779
106938,1938.05,423.231
95280.5,1987.85,49.2721
111225,1828.49,156.167
93119.6,3336.6,247.413
89561.5,540.33,363.915
104803,259.79,230.55
106217,1826.83,1048.55
82890.5,895.57,70.5526
98414.4,1441.71,264.538
98295.4,1318.04,117.054
74932.9,106.24,36.8818
80275.3,667.32,-219.933
80046.4,239.87,164.467
125218,288.84,178.19
105668,779.37,249.154
87605.7,514.6,123.911
73290.7,18.26,194.453
116574,824.19,597.402
92418.2,2227.72,207.56
82256.3,627.48,-42.3105
92001,2060.06,265.87
111677,682.26,98.3506
115585,1739.68,713.339
84328.3,339.47,-57.1002
108373,292.16,192.994
87760.4,2929.07,75.5307
102755,2024.37,93.4729
86415,114.54,-66.8131
105528,3100.88,311.165
124702,7683.31,1032.44
70826,1662.49,148.886
62377.7,19.92,36.0202
67949,362.71,188.576
81523.4,422.47,-76.3413
101078,130.31,-109.613
72983.4,1301.44,77.1808
101546,666.49,-4.92752
90069,958.65,-219.75
137602,472.27,552.61
94917.2,3766.54,17.7214
101196,700.52,73.8698
86613.1,251.49,133.109
104136,5340.22,304.305
123741,2418.62,988.004
82853.4,864.86,98.476
89922.7,5030.63,-111.324
71582.7,571.04,19.7604
113606,2568.02,72.1138
102136,1731.38,103.699
81755.8,477.25,-19.5787
111350,565.23,-68.8655
116904,4009.73,834.383
87295.6,1923.11,223.497
84742.7,591.79,-104.977
106511,1028.37,74.6824
107501,536.18,257.898
99757,825.85,416.675
103310,2280.84,34.1747
75599.3,234.89,30.5986
92973.3,1314.72,148.609
100206,298.8,16.9896
108625,1169.47,157.149
103218,365.2,-74.5016
76202.7,150.23,-79.7529
73516.8,35.69,151.529
129195,1366.18,350.215
99912.4,1301.44,203.268
101510,747.83,-46.0672
134377,330.34,-5.51547
94160.5,-6.64,30.9992
71019.2,681.43,-104.192
106246,1717.27,-30.2686
96394.9,679.77,131.791
98760.2,1188.56,46.0877
99586.2,495.51,-105.118
64514.8,509.62,13.5072
82330.5,233.23,21.0814
108853,2174.6,693.891
100664,3870.29,45.3987
87861.2,488.04,71.5963
97598.2,1135.44,437.77
139354,1069.04,105.917
105092,4947.63,858.459
86062.2,122.01,64.8232
110713,112.05,-97.123
82088.3,2535.65,-170.523
92131.9,3142.38,321.22
104712,2095.75,-11.2501
108291,1755.45,75.3365
132105,481.4,168.023
118053,223.27,277.375
94263.4,663.17,-22.5104
110534,922.96,-117.914
114853,1681.58,810.005
93564.8,592.62,330.927
94362.1,2127.29,219.286
104098,6508.86,159.619
139105,1044.14,748.301
109529,790.99,513.331
77469,1906.51,913.973
116357,1851.73,191.405
87341.1,93.79,-155.551
116797,4697.8,397.956
104987,1789.48,318.376
99821.4,81.34,230.968
114909,3386.4,1120.86
87947.3,3451.97,357.693
113587,2094.92,600.006
86615.2,429.11,-116.766
101440,783.52,-10.647
98062.3,168.49,133.172
100448,2408.66,-41.3006
106365,3625.44,461.517
78486.1,219.95,118.66
90940.5,884.78,22.8067
82404.7,461.48,-14.3924
106030,1818.53,73.4626
115127,2889.23,144.939
101133,4741.79,425.769
110272,2803.74,242.435
99724.1,1840.11,148.618
109341,2415.3,1113.5
120947,3652.83,317.274
126184,1550.44,366.16
80993.5,266.43,71.9925
136258,1900.7,819.437
113782,1601.9,612.27
88663.4,102.92,175.727
94969,962.8,94.4243
120094,366.86,290.762
109072,2312.38,260.789
120457,2953.97,153.601
95101.3,419.15,-1.33952
105578,3454.46,465.842
81083.1,458.16,456.189
92157.1,4179.05,678.141
117582,3476.04,477.965
119358,1119.67,576.579
96814.9,1113.03,-54.4582
110375,3167.28,246.43
68002.9,221.61,-18.215
104054,1127.97,1006.36
89966.1,292.16,0.775978
95467.4,867.35,527.234
77720.3,265.6,74.6245
104518,1276.54,76.5372
131263,2624.46,47.8573
116683,595.11,-75.1892
99136.8,682.26,573.537
85625.4,630.8,114.306
86639,565.23,135.682
95770.5,333.66,60.2299
128463,1655.02,147.739
106502,2074.17,292.449
82299,339.47,101.602
108012,135.29,30.3359
95337.2,43.99,73.21
96799.5,1739.68,202.552
83619.2,-14.11,58.0385
107703,9252.84,464.994
79324.7,1412.66,22.9757
95762.8,425.79,146.893
94812.9,1097.26,44.0642
108009,614.2,55.9142
110985,881.46,937.155
102775,2171.28,241.565
83484.8,1967.93,95.1187
122461,2396.21,115.149
92230.6,508.79,-37.1251
102514,93.79,-144.359
96668.6,241.53,68.6355
98807.1,2520.71,-16.5115
102332,1514.75,163.954
92880.9,1805.25,208.474
121361,606.73,470.48
103104,2736.51,-46.4634
90986,2346.41,313.097
85934.1,161.85,-131.414
126446,3453.63,409.719
81745.3,284.69,-181.076
105545,273.07,98.9618
104964,3050.25,524.413
100874,4014.71,245.747
90230,-14.94,-93.7163
82754,529.54,-61.1965
91392,149.4,-101.44
97955.2,2777.18,210.619
78377.6,3210.44,126.371
84443.8,2347.24,196.391
100516,1201.84,142.187
125941,498,238.105
128519,652.38,1397.95
105030,4626.42,702.16
109107,966.95,502.708
110022,2060.89,314.739
111250,361.88,-14.0154
115938,3241.98,242.93
105515,170.15,-41.2364
66070.2,1367.01,29.2197
116087,1489.85,282.143
95539.5,109.56,109.977
78665.3,947.86,19.993
126296,382.63,495.353
98514.5,3333.28,169.861
91287,1907.34,-52.0561
81790.1,615.03,221.68
134586,6225,742.884
122703,170.15,-91.5284
94019.1,1088.96,153.818
89898.2,13.28,-31.8091
100409,66.4,-101.017
95184.6,2265.9,471.08
84018.2,517.09,618.895
119629,4155.81,586.903
105073,1062.4,29.9194
104046,2492.49,115.61
89992,782.69,77.6502
100898,4281.97,83.0056
80544.8,806.76,-49.2874
89726,1929.75,266.905
73189.2,467.29,-93.4385
102398,466.46,241.991
77068.6,478.91,-33.097
99382.5,9492.71,305.16
93014.6,1998.64,-6.46507
87451.7,1562.06,-3.30938
118024,2660.15,196.083
71143.8,100.43,-14.2078
118884,4789.93,235.069
76018.6,509.62,393.036
79521.4,199.2,67.1824
113821,1035.84,579.337
73522.4,167.66,128.332
129051,1426.77,395.818
92157.8,416.66,205.401
117515,2060.89,787.462
92723.4,781.86,96.6028
89835.9,127.82,364.701
89621,1594.43,123.279
97046.6,2731.53,783.974
112344,1394.4,24.0729
100976,2878.44,313.219
116974,898.89,331.781
84016.8,625.82,103.095
102234,332.83,-114.503
97790,538.67,184.043
73031,77.19,-41.9975
96946.5,4766.69,104.488
81659.2,1450.84,352.594
87796.1,316.23,104.336
78526.7,1630.12,255.604
84034.3,742.85,440.048
85383.9,361.88,-5.07454
90124.3,2401.19,241.263
78360.1,1352.9,15.2307
88484.9,131.97,16.5029
98032.2,3101.71,-20.7578
89757.5,486.38,109.109
131692,3717.57,707.099
99974,240.7,45.6955
117352,3347.39,600.033
85953,88.81,-90.4161
136116,2805.4,782.561
118294,4433.03,464.526
94154.9,924.62,51.274
104670,2060.06,148.157
115226,2305.74,126.923
72805.6,234.89,90.4207
97902,106.24,-25.3364
122867,1188.56,62.6148
117951,5468.87,420.227
71773.1,351.92,15.1301
131144,698.03,516.336
99132.6,447.37,174.233
86144.1,398.4,-95.946
111716,2641.06,541.833
89965.4,1039.16,451.15
127898,403.38,166.819
111350,1049.95,-105.057
106303,1118.01,73.7893
93798.6,568.55,318.834
97850.2,123.67,20.9514
72887.5,579.34,92.2086
82828.2,925.45,317.62
98137.9,6053.19,695.546
106857,2533.16,55.9879
84494.2,474.76,4.76782
101494,360.22,267.165
76896.4,680.6,160.354
107692,1112.2,481.63
118054,1432.58,534.65
96306.7,185.09,143.168
75811.4,717.95,68.3748
81931.5,2267.56,-178.505
122546,530.37,508.431
132304,5194.14,566.014
72157.4,1187.73,-109.001
89600.7,754.47,224.108
104626,2117.33,531.392
88775.4,1089.79,115.563
120268,1515.58,811.793
72965.9,470.61,72.9722
103209,3632.08,166.886
108126,632.46,469.131
96413.8,3629.59,418.433
74972.8,408.36,75.6493
113833,728.74,148.185
87830.4,148.57,34.0229
111719,6383.53,544.916
74134.2,210.82,73.4516
108371,1570.36,105.037
87616.9,24.07,-113.786
114065,862.37,84.8174
118786,270.58,451.352
78808.1,864.03,92.0598
93480.1,830,-49.1319
81733.4,1977.89,346.278
86371.6,2466.76,-4.68216
78592.5,1633.44,190.214
109725,2069.19,129.272
100376,1669.96,254.524
109994,544.48,109.935
115262,625.82,125.661
102790,2560.55,327.872
87553.2,-45.65,15.1851
92358,129.48,-41.8436
89011.3,607.56,-48.3454
94166.8,350.26,42.7116
88192.3,2617.82,55.1856
87041.5,5321.13,335.575
104189,224.93,299.493
95050.2,212.48,-93.2738
78235.5,508.79,100.546
95475.1,2513.24,-100.334
94208.1,3930.05,4.56275
89041.4,454.01,300.778
94983,340.3,149.314
112706,1920.62,130.345
107016,376.82,73.8791
86054.5,772.73,234.449
107869,1795.29,610.453
118506,2665.13,26.6296
83636,436.58,61.8766
101638,226.59,-6.26367
100661,250.66,53.353
122328,230.74,-54.0257
116768,356.9,567.913
115913,159.36,387.353
101028,300.46,141.483
83190.8,315.4,-4.39268
127446,2304.08,-209.029
118815,297.97,13.7217
96040,311.25,46.7028
100272,1596.09,318.427
115147,1093.11,937.259
74547.2,91.3,-21.8839
69122.9,478.08,-116.266
78019.9,591.79,42.8094
93077.6,558.59,10.9109
98576.8,512.94,182.412
86015.3,1402.7,60.7127
117606,1899.87,355.038
118579,2326.49,162.541
97125.7,250.66,135.595
80042.2,1020.9,71.6341
117496,3704.29,769.081
109389,524.56,937.41
91585.9,1578.66,94.6814
92778.7,711.31,109.429
128098,9189.76,1265.5
102527,2731.53,167.363
67190.2,-21.58,-81.9089
130964,9985.73,1169.29
134494,733.72,477.943
122004,6171.05,423.907
98777,2225.23,222.567
95182.5,126.99,28.1385
99689.8,3951.63,280.519
112970,1786.99,428.879
103697,222.44,329.957
117280,1957.97,1277.4
101311,6668.22,755.494
109065,748.66,98.6734
93454.9,1358.71,33.0409
127259,103.75,-138.924
115114,3715.91,328.083
73589.6,548.63,-34.9444
99409.1,229.08,-221.521
114930,4642.19,49.5103
132593,4148.34,392.672
105694,5238.13,517.568
106351,1520.56,1901.11
115371,5896.32,386.978
98568.4,2192.03,-2.30741
97869.8,590.13,38.7894
93944.9,2089.94,715.086
118603,3979.02,94.6296
85446.9,671.47,-56.1478
125325,694.71,233.565
112386,597.6,163.894
102932,531.2,100.347
125908,8108.27,336.255
106617,507.13,69.5207
88211.2,73.87,-71.7029
97850.2,4915.26,322.447
97862.8,429.94,90.9516
117265,1253.3,332.063
85830.5,420.81,10.4951
91549.5,452.35,-1.54086
100829,278.88,584.692
114608,4851.35,233.725
110088,1157.02,313.524
121551,5081.26,1100.83
89094.6,2910.81,120.229
125553,565.23,446.593
78295,1574.51,-75.7305
104224,567.72,68.9338
111148,2217.76,510.596
95106.9,781.03,236.73
108623,4411.45,266.875
135242,620.01,135.973
121767,1660,-23.9578
127690,698.03,73.0738
83875.4,869.01,29.0999
117256,3625.44,219.765
84541.8,276.39,68.3517
132767,1845.92,386.059
68315.8,162.68,-16.7796
114027,1240.02,201.475
91482.3,1058.25,244.997
108580,2871.8,201.574
123307,449.03,148.031
100691,5648.15,225.56
88553.5,861.54,234.976
88823.7,1515.58,-21.0767
110175,156.04,67.011
70304.5,568.55,-38.1985
110699,6541.23,900.4
96178.6,297.14,-32.2882
101771,615.86,161.783
125728,2525.69,146.706
134067,1333.81,1198.32
83573,161.85,77.577
72874.9,682.26,-100.931
104958,1025.88,132.031
93569.7,302.95,37.7344
92177.4,1572.02,132.494
101725,1593.6,35.1991
106123,4413.94,413.849
116787,167.66,-85.3757
62800.5,64.74,127.289
102621,2785.48,286.085
78814.4,1943.03,304.717
116838,7377.04,527.585
122002,1750.47,466.842
119360,1661.66,1200.87
111537,182.6,132.495
74579.4,155.21,105.003
96862.5,3180.56,294.768
110828,1092.28,316.509
109638,933.75,241.241
133882,811.74,173.71
95364.5,312.08,29.3961
105174,1687.39,661.615
121351,263.94,325.802
90983.2,2343.92,44.9664
66178.7,406.7,-117.684
81696.3,3316.68,106.571
104644,620.84,44.915
99943.9,112.05,-44.087
98931,1860.03,-31.9794
109649,129.48,274.022
107119,605.9,156.597
100801,974.42,656.271
118061,1547.95,1900.25
80465,363.54,198.107
101510,5069.64,271.518
95877.6,2410.32,271.504
96525.8,276.39,-25.4488
108629,747,868.266
106576,2198.67,498.828
105998,561.91,244.797
101248,1737.19,96.8684
123374,2474.23,272.567
104394,483.06,-38.2287
125982,563.57,866.718
86004.8,777.71,344.211
113450,1589.45,266.033
105462,445.71,34.3126
120597,795.97,561.75
123846,1874.14,1038.71
113211,1141.25,844.351
99870.4,2519.05,343.854
81391.8,2238.51,6.18667
82418.7,377.65,72.9473
77422.8,532.86,-58.4958
107009,600.92,911.144
111510,660.68,-60.9233
91789.6,276.39,-156.796
87369.8,118.69,188.727
119844,1335.47,340.308
87076.5,2643.55,95.6391
100041,3168.11,184.437
105633,1231.72,689.861
120087,711.31,46.1832
76732.6,1396.06,75.1038
120518,433.26,313.242
108386,1637.59,429.754
105297,1104.73,379.091
100771,3215.42,188.233
111754,4179.88,261.447
99281,149.4,-156.481
86689.4,237.38,16.598
90350.4,1661.66,121.375
100093,755.3,53.7866
114606,77.19,668.933
123161,2138.08,580.254
74977,961.97,-154.318
122865,6025.8,605.025
75722.5,1059.91,-9.9548
83913.9,2603.71,372.769
113138,1484.87,178.699
136955,1978.72,2157.29
114231,2636.91,-65.9734
105110,1543.8,103.063
118108,1597.75,368.967
105158,2179.58,331.919
106611,526.22,307.773
112538,3013.73,447.429
89445.3,733.72,42.4485
93816.1,85.49,65.436
120280,576.85,371.298
84960.4,743.68,85.388
