"FSC.A","Timer.Blue","Timer.Red"
128554,7412.73,219.794
130112,10385.8,1591.55
122132,799.29,30.5599
86595.6,2253.45,664.285
101210,3464.42,96.2789
116105,4173.24,1010.4
114880,1281.52,-46.7072
123055,9386.47,461.727
135476,13802.9,376.387
120789,2268.39,-112.606
124980,8496.71,82.7635
114724,1975.4,64.7683
135506,5817.47,-315.751
114734,4306.87,-290.419
139442,4468.72,446.023
98355.6,4562.51,-44.5684
113267,102.92,-4.3009
113208,1631.78,408.258
118383,4007.24,191.855
120779,5927.86,242.863
117591,14014.5,978.882
113070,5864.78,1444.7
125871,2808.72,18.4427
106548,130.31,143.546
120437,3570.66,118.897
119749,9522.59,629.821
128959,5307.85,829.654
107455,10492,431.232
137086,12245,254.395
68693.8,42.33,327.445
95221,9427.14,-180.73
135724,3154,-387.929
88226.6,789.33,136.615
125217,9650.41,824.525
97419.7,1127.97,35.7927
108100,458.99,-60.1334
124542,3147.36,698.107
118586,5366.78,297.088
95476.5,1936.39,311.947
135286,7382.85,285.933
88384.1,1096.43,-71.28
100333,4706.1,14.0277
109350,2899.19,649.141
102909,273.07,-46.0656
118705,1528.03,-200.999
138170,4139.21,252.904
128470,2248.47,-47.2438
130626,23330.5,452.045
120883,1580.32,317.628
103821,5588.39,224.537
138628,9584.01,772.204
100978,720.44,4.3703
90710.9,8182.14,340.35
126389,12167,431.969
105960,3618.8,589.224
139037,1272.39,167.601
129612,2127.29,836.879
106251,7177.01,234.119
123668,11711.3,570.539
125157,3920.92,2319.97
113071,1447.52,7.6181
132543,2969.74,21.1246
119198,9225.45,331.55
120862,5890.51,301.827
118346,2801.25,-18.5301
100043,639.93,342.133
93788.8,1254.96,-151.506
130996,8429.48,356.4
124844,8036.06,173.371
90163.5,7541.38,166.97
108221,1661.66,31.0189
104411,2939.03,147.705
94369.8,953.67,14.1678
139805,1571.19,174.315
116269,1261.6,34.1338
125750,3686.03,384.662
100945,395.91,-217.09
128612,5123.59,254.254
100160,1823.51,-22.1802
86791.6,408.36,102.47
90079.5,451.52,55.5197
92897,996.83,79.1682
112077,2572.17,-7.73456
131017,7687.46,644.839
131421,1148.72,104.017
95554.9,5419.07,588.767
105742,1170.3,76.5978
