"FSC.A","Timer.Blue","Timer.Red"
125241,3289.29,129.356
111794,1288.16,203.91
142456,1101.41,77.609
125409,13274.2,1554.17
112404,1296.46,-154.233
101944,1454.99,79.8897
112807,11975.2,303.841
125825,1777.03,-35.2808
127684,4044.59,211.759
136127,3794.76,268.784
121026,9836.33,348.687
116738,3231.19,-59.5697
104734,4200.63,-15.7134
121804,592.62,-149.889
107206,268.09,92.8177
107047,6162.75,23.0101
126403,7513.99,428.209
122989,771.07,475.092
125667,7407.75,644.836
114480,2530.67,127.845
131979,232.4,-193.367
93692.9,765.26,350.564
122125,505.47,533.786
107473,1502.3,183.321
125672,2654.34,243.272
82581.8,2308.23,201.837
114251,3291.78,-288.686
109182,10213.1,135.672
106138,522.9,5.10959
113324,1147.89,-33.0877
127368,9558.28,755.989
101433,326.19,243.437
117199,3360.67,211.766
116527,2004.45,-213.357
130381,7040.89,1122.29
112670,5693.8,719.568
98650.3,4512.71,187.196
135253,3074.32,145.713
97321,2465.93,165.607
112237,3527.5,261.67
109407,3734.17,432.847
126255,4898.66,-185.807
116508,1454.16,54.2656
137082,8709.19,280.245
107954,2177.09,-81.4886
106535,6135.36,-98.3089
110362,482.23,43.269
141131,2993.81,828.511
140104,2282.5,235.362
126951,2753.11,271.303
99344.7,569.38,12.6261
113673,371.84,-14.1105
122011,2177.92,278.536
131937,7504.03,62.7172
120986,7344.67,231.288
108440,6605.14,77.5985
89625.2,3890.21,-9.90492
137109,12945.5,360.036
126609,10016.4,1788.17
136136,6541.23,470.465
84751.8,1806.08,-135.085
115109,4600.69,262.151
139644,555.27,-248.736
135648,15423.1,401.344
96306,1898.21,526.13
125360,11344.4,754.339
128150,5571.79,364.075
98740.6,2433.56,282.401
133365,2109.86,-111.953
141425,2035.16,-423.788
124271,1576.17,-102.479
114851,702.18,79.3636
130740,7989.58,479.031
113632,254.81,-55.0911
118117,996,30.6042
82569.9,2374.63,130.194
104005,674.79,63.4075
105921,1465.78,-222.174
83181,352.75,322.507
115160,3358.18,600.416
120566,5342.71,501.849
132071,6015.01,81.438
120082,2868.48,507.692
126442,12025,251.588
122338,6035.76,-151.804
105505,2613.67,-3.61487
110216,6889,445.568
135545,6507.2,489.971
136437,4154.98,742.69
109571,859.05,411.596
108445,1630.12,276.796
90473.6,2962.27,359.964
102140,7306.49,186.129
110244,9047.83,-244.685
116570,1881.61,76.5108
129202,2642.72,638.962
123788,1745.49,928.369
100681,-12.45,-340.998
122515,1490.68,246.144
141043,2772.2,247.492
136173,6926.35,315.105
138646,15391.5,1915.62
101933,5938.65,148.182
138734,7780.42,909.113
89601.4,790.16,-101.919
135805,2084.96,173.953
116714,275.56,233.634
126380,7427.67,110.817
110496,10723.6,965.652
114131,771.9,-209.086
95471.6,166.83,48.6289
112494,10505.3,186.431
96993.4,3932.54,153.309
127596,6107.97,514.323
117492,1739.68,19.7941
124277,6530.44,48.9638
136199,10754.3,314.917
105803,2210.29,44.9366
102647,1414.32,430.536
124514,8207.04,2800.82
125601,9654.56,297.934
83149.5,1134.61,491.177
128276,4788.27,300.894
135472,5526.97,957.753
101599,841.62,-1.31018
121580,1424.28,-2.91857
138937,2622.8,142.838
107918,9671.99,678.508
81925.9,1417.64,-5.95979
132677,1603.56,104.461
110566,207.5,-112.07
137997,7191.95,474.528
132106,9083.52,409.565
126902,7941.44,501.602
129935,14340.7,307.998
103088,3608.01,399.935
131102,2129.78,-144.395
112834,1085.64,-83.7667
128584,2918.28,228.163
92031.1,3463.59,287.45
126557,2812.04,4.33586
70065.1,1573.68,3.44932
112071,6922.2,288.474
110236,2402.85,-71.722
132956,12230,778.403
136740,1181.92,212.336
119853,5157.62,106.157
98296.8,107.9,99.3849
100360,973.59,-125.094
121841,189.24,93.7193
138723,11781,62.0907
98361.9,1705.65,45.2803
107047,9017.12,729.224
142590,488.04,-13.3005
126071,3691.84,-37.0654
110039,1303.1,501.968
129588,5353.5,2884.72
120322,10311.1,593.105
75908.7,-19.92,-16.4869
94773.7,2934.88,307.162
118059,1528.86,-114.392
96168.1,3332.45,121.872
126458,2765.56,-207.492
128762,7407.75,-131.547
123703,3276.01,-12.1362
104524,345.28,-25.4353
121880,318.72,-337.497
130348,6577.75,344.18
88216.1,4447.97,-123.682
121843,2318.19,-183.845
87393.6,87.15,-11.2438
92894.2,7690.78,1051.27
127621,3417.94,-47.9566
127413,4553.38,689.438
123961,8456.04,-158.57
125668,207.5,111.16
99654.1,3195.5,206.967
115848,11248.2,674.45
98487.2,98.77,-154.158
99809.5,888.1,68.0623
115237,8049.34,121.307
109479,4112.65,739.065
116353,6568.62,-29.8884
121092,373.5,-4.68503
134420,3604.69,-35.9683
94308.2,5618.27,732.049
104492,1958.8,209.81
103522,12461.6,272.822
142184,7696.59,487.034
101135,2123.97,117.429
115739,5239.79,75.9717
140206,4211.42,-216.175
86081.8,1147.06,-68.7874
85752.1,205.84,-225.871
120234,3478.53,493.398
135423,1059.91,10.247
141190,7757.18,318.318
101815,1275.71,73.0048
115973,672.3,118.237
91089.6,1550.44,125.943
137268,3381.42,51.9729
106945,1200.18,176.04
138790,4152.49,21.8193
129098,7442.61,992.588
111491,3226.21,1022.35
113168,14978.2,358.166
132026,2121.48,191.887
114774,359.39,193.009
95857.3,1102.24,-51.3694
134352,9909.37,546.128
119859,6029.95,420.305
113797,3819.66,230.246
87986.5,1917.3,123.756
120035,2885.08,53.8663
138360,10116.9,407.521
137627,6991.09,582.335
106983,2647.7,265.472
128290,9446.23,984.97
114598,1835.96,-22.392
98471.8,1230.89,-213.765
119757,245.68,120.96
140305,537.01,-136.753
124657,5033.12,349.45
140148,321.21,-42.4949
95905.6,2626.12,14.6015
80141.6,24.07,31.209
105461,226.59,-115.674
109265,1143.74,-250.496
99463.7,3630.42,15.5579
114444,1417.64,-238.753
132551,1057.42,-9.00773
120668,1614.35,487.637
138350,5863.12,-84.9166
126749,3054.4,437.674
123452,1918.96,114.992
95102.7,426.62,-200.083
136594,4101.86,362.179
123617,10912,351.186
118165,1439.22,113.548
60296.6,226.59,198.005
130746,1420.13,-43.4018
118689,5322.79,104.544
77402.5,1894.89,156.011
126506,3749.11,770.935
101930,2097.41,-121.519
101270,2312.38,157.619
130404,3339.92,318.269
