"FSC.A","Timer.Blue","Timer.Red"
72523.5,231.57,-92.9444
65026.5,439.9,-7.14172
71276.8,368.52,-3.50954
77667.8,190.07,48.7224
66147.2,357.73,4.85786
76365.8,111.22,-15.1982
78245.3,611.71,76.926
70442.4,173.47,-64.9557
67719.4,249,40.9508
70140,161.02,56.1316
80559.5,19.92,7.93541
70968.8,604.24,-61.3401
72987.6,201.69,40.7278
78334.2,741.19,-57.5406
73169.6,1007.62,-93.7137
63448.7,558.59,-58.5973
73287.9,-32.37,-77.9792
59353,238.21,9.8792
78999.9,507.13,24.9989
75742.8,112.05,7.26821
73810.8,248.17,56.185
70837.9,94.62,17.3719
66715.6,-19.92,30.0038
74275.6,193.39,27.7423
69797,87.98,62.9604
67708.9,101.26,33.6645
63473.2,114.54,-65.4102
69227.9,92.13,-88.7401
72733.5,39.84,0.00575161
65096.5,-67.23,-59.7081
82113.5,-51.46,-21.4783
61181.4,0,15.1418
65723.7,186.75,60.9733
69748,383.46,30.0652
70800.1,9.96,-57.982
69222.3,178.45,83.4707
72279.9,209.16,-77.5314
70731.5,-44.82,-35.8491
75198.9,98.77,-80.1286
79995.3,210.82,83.2603
77620.9,244.85,-40.5644
83664.7,709.65,-64.9734
70522.9,48.14,-76.7465
75176.5,53.95,109.361
70695.1,107.07,28.2491
76617.8,136.95,-27.5806
62036.8,89.64,-41.1185
72653.7,43.99,-58.5208
64977.5,268.92,-69.0062
77864.5,120.35,-39.6129
68520.2,209.99,-35.001
71171.1,116.2,17.0602
73519.6,1166.98,-21.4513
69559.7,88.81,67.0988
72754.5,228.25,11.7594
76354.6,718.78,28.7356
76291.6,127.82,12.883
68745.6,88.81,32.4545
64736.7,259.79,33.4889
74099.2,746.17,26.3205
68050.5,288.84,-39.6383
68264,299.63,-46.3395
74431.7,87.98,-122.237
67099.2,91.3,102.151
71237.6,84.66,-85.1511
79919.7,344.45,-97.8952
68803,336.15,17.5816
70758.8,105.41,-6.96823
74903.5,-59.76,-5.47757
73034.5,16.6,-102.947
81242,429.11,-36.2062
65998.8,67.23,-33.2782
76521.2,289.67,3.14369
70457.1,99.6,-88.9628
76696.2,36.52,-40.1891
68651.8,453.18,5.34539
73158.4,217.46,22.3163
72097.2,43.99,-7.26341
65443.7,-21.58,1.13666
67374.3,113.71,125.989
73252.2,434.92,-51.3172
63717.5,527.05,34.3359
68564.3,229.08,0.331656
73278.8,449.86,12.2906
70766.5,596.77,-44.9855
63634.9,763.6,66.0518
70256.2,76.36,-59.2427
71505,-9.13,-86.4347
70383.6,105.41,7.70097
73285.1,361.88,-91.4921
60165,70.55,14.1597
71719.9,869.84,50.4089
64911.7,70.55,-39.3635
65934.4,137.78,-36.4795
71319.5,171.81,10.8964
71698.9,330.34,84.0528
62434.4,82.17,-103.018
69337.1,470.61,75.2285
73193.4,120.35,-8.11294
67098.5,36.52,7.05549
56042.7,99.6,-50.7622
68891.9,175.13,-39.111
69757.1,111.22,-37.8215
71850.8,99.6,-24.0509
74785.9,572.7,-22.2416
70491.4,172.64,43.251
59923.5,107.07,-68.5785
75126.1,120.35,-61.7743
73693.2,135.29,-39.1113
72203.6,55.61,-54.467
73311,808.42,166.873
72707.6,108.73,20.5077
64850.8,171.81,-90.8547
68004.3,114.54,66.3637
69432.3,556.93,-7.75742
69729.8,45.65,-55.0738
66282.3,67.23,-51.5911
78534.4,39.84,263.726
67547.9,81.34,11.6395
62961.5,263.94,-73.9003
74883.9,206.67,13.7788
77730.8,819.21,-88.3867
75173,468.95,-49.0439
58324.7,254.81,-32.365
68299.7,613.37,30.6902
67302.9,309.59,43.4039
74287.5,141.1,-74.9616
78766.1,12.45,-45.1211
70282.8,45.65,-21.5373
68140.8,-31.54,-8.56778
80840.9,1.66,-90.7519
72492,82.17,-55.4912
73568.6,313.74,-79.5092
72685.9,-48.14,-48.0622
67792.9,566.89,-27.3187
72947.7,93.79,-29.7354
69689.9,-1.66,-63.1
63560,111.22,13.3966
76258.7,273.9,-78.2373
69570.9,252.32,13.317
69680.8,50.63,-17.378
67714.5,801.78,35.27
74235,-20.75,-39.7365
72079.7,-14.94,26.3789
75438.3,240.7,-33.3913
65044.7,629.14,-92.0619
76304.2,-3.32,21.771
80661.7,194.22,16.484
77338.1,69.72,9.70195
63884.1,14.11,29.6075
68891.9,-46.48,69.9637
72073.4,206.67,-47.4731
74932.9,42.33,-9.36636
72848.3,131.14,25.2271
80612,114.54,-62.5309
76965,86.32,22.4513
73838.1,66.4,-49.3529
72411.5,7.47,38.6176
78877.4,31.54,-79.9421
74970,188.41,-13.6401
69665.4,406.7,0.352165
81607.4,15.77,-43.1789
64455.3,503.81,-32.4551
66490.9,999.32,-0.813688
75094.6,100.43,-111.175
73433.5,19.92,89.2714
79432.5,422.47,38.3179
80669.4,1047.46,-11.4209
70935.9,49.8,-84.6198
73621.1,825.85,72.4392
65440.9,647.4,-103.13
75617.5,241.53,23.4992
69727.7,-14.11,59.5703
70924,445.71,12.9094
68005.7,166.83,40.4988
71507.8,179.28,11.5699
74833.5,126.99,-36.5064
72872.1,161.85,-56.3023
74277.7,44.82,-0.963094
72397.5,408.36,59.6484
74585.7,174.3,16.3735
74485.6,64.74,-69.5288
74321.1,12.45,-34.2534
72709.7,76.36,39.2083
76804.7,58.1,17.7061
66631.6,834.15,-32.3106
70742,181.77,-55.6882
67769.1,-26.56,6.46116
68626.6,-2.49,-52.3065
78586.2,173.47,-105.181
76408.5,43.99,-2.5408
69701.1,48.14,-97.9759
72139.2,317.89,1.14675
71865.5,278.88,82.9104
77004.2,76.36,-62.3399
71660.4,-6.64,-57.6813
67592,171.81,3.66506
77046.2,75.53,-13.2111
79747.5,107.9,-27.1747
78712.2,207.5,-37.2402
67332.3,224.1,-60.4648
71791.3,333.66,42.8986
66273.2,105.41,-40.7848
67930.1,1.66,-46.265
74421.9,512.11,-25.6158
65837.1,889.76,0.680481
62724.9,102.92,-76.7297
72867.2,351.09,72.2724
65026.5,128.65,33.4409
68091.1,414.17,-29.8268
64832.6,221.61,-21.6639
73064.6,53.12,-11.231
72996,39.01,28.3366
65255.4,863.2,53.2432
71865.5,115.37,112.177
74624.9,182.6,37.4087
69483.4,852.41,-18.2351
69544.3,265.6,-21.4798
65370.2,82.17,-120.175
60517.8,97.11,-44.0942
78552.6,750.32,-33.6644
70260.4,231.57,-32.1319
72634.8,76.36,-33.8576
75094.6,-40.67,-33.6751
76231.4,570.21,-10.7113
