"FSC.A","Timer.Blue","Timer.Red"
123261,436.58,262.479
131433,1851.73,171.235
121764,6978.64,577.401
107961,518.75,180.703
83089.3,427.45,13.8264
85359.4,258.96,259.279
109537,1025.05,253.553
90587,685.58,48.4419
121443,1407.68,-296.743
130654,2511.58,-47.7235
125421,2280.01,-83.2473
136795,3993.13,950.511
112688,4294.42,140.639
109092,688.07,115.821
129758,1420.96,-73.6159
75422.9,2001.13,258.565
96841.5,4595.71,144.207
109017,727.08,166.729
95062.8,871.5,-22.8461
134511,7730.62,1111
99710.1,989.36,73.5449
95807.6,304.61,35.1345
100422,380.14,163.373
91084.7,1089.79,89.9788
61586,675.62,409.399
128843,592.62,228.426
123545,1074.85,308.535
131122,261.45,-192.973
130395,3331.62,290.729
138704,432.43,46.2803
114867,2949.82,251.947
103181,88.81,-235.4
129662,3471.06,-58.6455
89416.6,359.39,290.19
80570.7,1709.8,-70.8063
125140,6137.85,134.372
127220,6749.56,711.21
128545,5193.31,345.626
118686,3735.83,196.703
125318,2445.18,36.4853
111026,263.11,106.889
119393,1786.16,164.89
94743.6,9303.47,469.11
112042,248.17,45.1443
131321,1505.62,52.0574
130914,1894.89,395.147
107416,44.82,405.571
93299.5,96.28,-17.0551
119771,1488.19,239.294
115098,1806.91,53.8273
124658,5897.98,454.758
126611,4063.68,405.118
112232,3202.97,286.081
119224,1095.6,12.4534
126048,8400.43,493.552
116517,235.72,-120.688
90857.9,820.87,-37.7951
87384.5,961.97,134.054
117890,324.53,148.502
65475.9,117.03,-22.9071
115433,1199.35,92.2963
107952,1347.09,145.954
128622,1938.05,496.795
126845,2148.87,418.931
115288,10883.8,613.052
104504,3177.24,139.098
115862,1675.77,114.382
99645,298.8,27.4926
115370,1157.02,285.322
138884,782.69,435.122
72772,118.69,-221.846
123078,837.47,182.258
111993,898.06,184.945
94375.4,1426.77,-3.08137
101512,844.94,37.792
90390.3,1106.39,48.3048
122755,631.63,-12.306
139532,4594.88,350.667
92868.3,161.02,66.4568
134032,1238.36,1125.36
94947.3,1172.79,81.2847
132244,9447.06,111.842
100401,645.74,2.85175
114668,865.69,-149.673
101611,546.97,-53.6097
103385,327.85,196.83
119912,4145.85,562.568
135792,10673,847.418
114515,8224.47,1406.43
98105.7,1005.13,145.794
117638,7709.04,302.87
81496.1,212.48,68.2766
116381,170.98,-62.3177
102448,2695.84,74.4766
75504.8,230.74,-78.3366
112864,538.67,172.793
96590.9,2249.3,133.557
100346,644.91,477.849
114904,296.31,-129.893
112477,1403.53,-21.3761
119615,521.24,26.3776
121469,1087.3,751.964
124344,8127.36,599.066
128127,4700.29,703.705
105625,75.53,232.346
137105,1877.46,730.535
116555,208.33,115.963
107617,1602.73,1459.65
91966,426.62,-7.0705
97885.2,802.61,20.3212
123807,2323.17,135.478
124524,10600.8,487.562
94321.5,3910.13,124.821
111630,5722.85,-14.8372
130177,3607.18,199.418
98667.8,203.35,-97.2616
86298.1,234.89,183.268
95218.9,-17.43,200.449
134516,9334.18,296.532
127038,1127.97,-75.7961
112799,436.58,29.6196
105595,1839.28,265.166
84011.2,407.53,295.614
114194,1701.5,479.749
113318,410.02,-166.436
99892.1,724.59,21.8156
117046,888.93,-108.673
104188,3108.35,508.718
86839.2,2881.76,-8.96895
104012,1501.47,16.5252
113799,3246.96,620.477
115510,1153.7,505.663
124337,1284.01,34.6908
95439.4,273.9,73.6497
112181,582.66,190.805
128200,1909,144.804
87135.3,24.07,-17.9476
110095,1765.41,256.778
117389,2508.26,56.1311
137288,3168.94,719.784
132472,2959.78,436.382
98210.7,4039.61,106.636
140095,504.64,126.717
90250.3,3652.83,87.3009
112974,84.66,-75.6382
98993.3,265.6,44.0838
102127,1990.34,124.484
109853,5355.16,346.362
85895.6,686.41,-67.8615
99782.9,742.85,215.274
135148,8425.33,2617.91
139651,2189.54,469.961
124237,1938.05,139.326
112653,8048.51,592.196
82486.6,415.83,-99.5427
110130,213.31,119.287
128042,3176.41,119.692
98882,955.33,-1.14522
117867,5521.16,433.584
119000,332,-13.5133
88605.3,296.31,-106.855
133395,2727.38,286.735
131427,5890.51,1023.56
105980,2501.62,280.126
134544,7547.19,746.148
113899,8090.01,168.766
79063.6,585.98,50.8894
134777,1128.8,119.128
98436.1,161.02,165.423
101090,975.25,170.347
111369,6462.38,995.481
99666.7,747,-31.0871
73764.6,-29.05,114.596
107100,10143.4,413.181
122337,1517.24,69.6156
100197,2652.68,-29.446
86400.3,441.56,-79.5057
80188.5,1019.24,178.583
137756,703.84,281.891
98849.1,337.81,-60.7006
85073.1,759.45,23.7466
99950.2,1982.04,18.2077
136644,1680.75,166.92
131791,7670.86,376.338
104900,261.45,49.0163
115876,8071.75,347.163
99819.3,311.25,255.056
111074,1640.08,127.586
95543,2064.21,133.697
140695,3476.87,1132.31
94361.4,424.96,-53.7221
103858,189.24,32.6014
96617.5,3593.9,345.992
118089,1109.71,-130.4
111315,1650.04,-65.9633
114172,3168.11,229.357
138671,386.78,-86.4763
117515,342.79,342.553
139108,3485.17,-197.274
86517.9,134.46,257.834
120109,445.71,175.439
133603,1509.77,483.766
114398,2261.75,200.682
90609.4,1843.43,55.5907
138777,5018.18,113.578
127660,8276.76,653.559
102434,1905.68,260.393
115359,2560.55,803.611
101928,4778.31,414.497
94868.9,538.67,-28.1677
114598,143.59,145.392
105068,954.5,215.589
125945,1425.94,-83.6058
104724,595.94,56.3812
118319,2738.17,415.197
108963,365.2,147.585
119288,512.94,131.653
104144,675.62,148.747
97532.4,5561.83,571.778
101051,10394.1,420.78
95375.7,754.47,491.062
126393,2600.39,260.371
122918,2060.89,602.606
101888,1185.24,111.629
108921,773.56,116.361
123959,198.37,-196.569
123227,6009.2,353.287
92697.5,468.95,94.0677
139395,3963.25,358.212
105949,2213.61,275.737
100516,2104.88,132.651
94577.7,6857.46,213.247
102115,2118.99,0.0976439
65865.1,553.61,13.804
96536.3,570.21,91.7365
125971,2208.63,531.435
116733,5121.1,326.792
100410,471.44,181.806
128547,3024.52,155.673
103488,1938.88,222.987
120792,449.03,92.1628
116780,6167.73,198.753
140371,5980.15,303.647
125469,568.55,297.266
79472.4,288.01,-8.29404
115856,331.17,-53.6667
112370,2929.9,169.059
125943,10746.8,688.208
136593,3083.45,397.454
116278,937.07,147.621
121218,462.31,-180.332
141025,2709.12,1492.72
128733,234.89,-45.735
90392.4,82.17,-14.9703
70402.5,111.22,-45.3118
89889.8,1650.87,253.386
113409,2212.78,47.8075
120545,401.72,-42.1327
131814,1567.87,269.48
106838,864.86,112.209
126797,7437.63,-46.3914
113053,8038.55,1130.49
83927.2,155.21,-8.14534
104383,36.52,118.366
82899.6,561.91,142.232
91995.4,94.62,195.583
109089,94.62,30.2709
130140,704.67,-217.577
129327,6132.04,166.648
138554,3241.98,202.172
112294,145.25,14.5539
96544,1274.88,-4.67854
134645,5288.76,668.554
101917,1241.68,135.219
118220,2968.91,72.2621
112253,2585.45,-20.4939
133287,2980.53,370.609
100767,3743.3,81.9682
139716,6484.79,603.504
80385.9,759.45,273.993
88923.8,1881.61,90.5187
109128,11772.7,470.863
118584,5595.03,-46.6916
117377,3534.14,116.046
114655,1032.52,336.74
118664,1193.54,142.055
105248,1782.01,193.885
99243.9,505.47,-17.9254
120257,1493.17,77.5741
133578,804.27,550.066
109172,236.55,33.3388
